timestamp,​0xEB1e1c73Da0Be950c4c7b8941dF19Ad5226A2bC3,​0x8aCB47594cf0F16d7415a1D315A906056c99235E,​0x2870fa7c3C615f324151a88B10f0e1455Ee292D8,​0x72B0bC97E2B7dFa0F9d376dA9fb392D871011313,​0x6076DC93F53E429aadcE69A4373C6EFC1f843f71,​0x693c188E40F760ecF00d2946ef45260b84FBc43e,​0x7F503E9364CC0b32E96312706AA7E55979Fd66EE,​0x15151Ac99BBa4eE669199EfbDCD0d3af6d70fCb6,​0x006004fFA18E3cf78fA3b50393ec44C1ab89cF6c,Other
1575596839000,,,,,,,,,,0.00
1576132843000,,,,,,,,,0.30,
1579320115000,,,,,,,,,,0.00
1581110121000,,,0.15,,,,,,,
1581508790000,,,,,,,,,,0.00
1582106715000,,,0.17,,,,,,,
1583833348000,,,0.07,,0.50,,,,,
1584367227000,,,0.08,,,,,,,
1584566455000,,,,0.27,,,,,,
1587969951000,,,,0.16,,,,,,
1589711000000,,,,0.30,,,,,,
1591457899000,,,,,,,,,,0.00
1593866326000,0.29,,,,,0.57,,,,
1594000010000,,0.23,,,,,,0.18,,
1594667176000,,,,,,,,0.09,,
1594734577000,,,,,,,0.21,,,
