timestamp,​0x217bA130cE2452D3793Fd524C11ddeE63898Aff7,​0xB56f70B5f721f863C2ec455B9B9B251a61c0e9F8,​0x55e2780588aa5000F464f700D2676fD0a22Ee160,​0xB64943f4F26D837cEEAc96CAE86d1bAB23A3414d,​0x4F50d47D20380172746527bbeAa274940C38EFAC,​0xaCf4C2950107eF9b1C37faA1F9a866C8F0da88b9,​0x538D81D67aF18fA7D8b072C0AD2Fb1Ce6Ab947Db,​0x09cabEC1eAd1c0Ba254B09efb3EE13841712bE14,​0xA7F9AbDD9EF50fB0eD45DC79d78cEFDC7b9Ec70E,Other
1572546064000,,,0.08,,,,,,,
1572615810000,,0.06,,0.04,,,0.08,,0.05,
1572684939000,,,,0.06,,,,0.13,,
1572754262000,,,,,0.07,,,,,
1572962724000,,,,,,0.08,,,,
1576713534000,0.10,,,,,,,,,
