timestamp,​0x97deC872013f6B5fB443861090ad931542878126,​0x9709a9f77d4349e1DA4220f1458fBe9339d612E3,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0x8CC7355a5c07207ef6ee188F7b74757b6bAb7DAc,​0x72d50aC6627eAc2E6B69D38eaDd8EEe80d21653c,Other
1608835449000,,,,0.49,,,
1608902154000,,,0.00,1.66,0.11,,
1608968406000,0.30,,0.00,0.43,,,
1609034138000,,,,0.92,,,
1609100774000,,,,2.50,,,
1609165810000,0.00,,,2.53,,,
1609232681000,,,0.01,0.91,,,
1609300140000,,,,0.23,,,
1609365524000,,,,1.62,,,
1609431762000,,,,0.19,,,
1609498801000,0.00,,,0.77,,,
1609563999000,0.36,,,0.41,,,
1609630001000,,,,0.10,,,
1609696530000,,,,0.00,,,
1609829565000,,,,0.29,,,
1609895571000,,,,,,0.03,
1609961853000,,0.28,,1.25,,,
1610028326000,,,,0.15,,,
1610095037000,,,,0.31,,,
1610160525000,,,,0.00,,,0.01
1610227531000,0.03,,0.00,0.04,,,
1610293257000,,,,0.01,,,
