timestamp,​0x97deC872013f6B5fB443861090ad931542878126,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,Other
1602270387000,,0.22,
1602403481000,0.37,0.69,
1602469107000,,0.25,
1602535471000,,0.47,
1602601229000,,0.15,
1602732764000,,0.17,
