timestamp,​0x9151c47C781593697E8bDd828Ac0e02765E0e621,​0xCA98Ef2381fbd75BA80caCFCAc6C9dD5710bC9Ff,​0x05848CA9F4c353c37a47A6AcC8d3df40960540c6,​0xF811B9F966e635bA15b23D83618cfE5A56b6D57a,​0xadfA51248ae5F82008C188CA3f329D4cADdAd1Ec,​0x5245F58F5c4FF94b049f91f6F829424fD837762F,​0xd6f64c02c14Ac390bf5f772de6CD590f9412bD1C,​0xB1F933A61dc4D1B30621E593F2fB4eE83063aB30,​0x39171C587337B360Bf26c066d9f9db5fe8CF0EEa,​0xa07b9D4bf5E69B9E38A4f8c6abb8A4a9ee5bFB3e,​0x6A21fCd3F59bcab524782a9EEe8B489b54BdaBAe,​0xfB2402e5C109606B1e01a7dE80fe5cA13b244350,​0x97deC872013f6B5fB443861090ad931542878126,​0x6FF83014c69DA30F78bEa257190F7B096410eD73,​0x825e1095ffA94B7eBbD1aE333d626AB8edFF1157,​0x9a7A75E66B325a3BD46973B2b57c9b8d9D26a621,​0xC6581Ce3A005e2801c1e0903281BBd318eC5B5C2,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0xc5A61c62A05E599DAC73F368cCD327BbE173EB27,​0x84B26F042ee162ae53d791d62a06947259dA8802,​0x440ba0D649D2FC64b34BeCf8B211595780c9feFe,​0xe7dc46dC2BCf1D86f51844728462540219CD106D,​0x370D28491012b433FA9282DB52e585C6aE6eDe16,Other
1583368317000,,,,,,,,,,0.00,,,,,,,,,,,,,,
1583435384000,,,,,,,0.00,,,,,,,,,,,,,,,,,
1583502285000,,,,,,,0.00,,,,,,,0.00,,,,,,,,,,
1583567810000,,,,,,,,,,,,,,0.00,,,,,,,,,,
1583633541000,,,,,,,,,,,,,,,,,,,,,,,,0.00
1583833348000,,,,,,,,,,,0.00,,,,,,,,,,,,,
1583900197000,,,,,,,,,,,,,,0.00,,,,,,,,,,
1584300469000,,0.11,,,0.00,0.14,0.00,,,,,,,,,0.00,0.02,0.02,,,,,,
1584367227000,,0.03,0.00,,0.05,,,,,,,,,0.00,,,0.02,,,,,,,
1584434720000,,,,,,,,,0.05,0.02,,,0.02,,,,,,,,0.02,,,
1584500082000,,0.06,,,,,,,0.10,,,,,,,,,,,,,,,
1584632903000,,,,,,,,,,,,,,,0.01,,,,,,,,0.01,
1584699859000,,,,,,,,,,,,0.11,0.03,,,,,,,0.01,0.01,,,
1584766483000,0.01,,,,0.03,,,0.15,,,,,,,,,,,,,0.02,,,
1584833664000,,,,,,,,,,,,,,,,,,,,,,0.01,,
1584902413000,0.01,,,,,,,,,,,,,,,,,,0.00,,,0.00,,0.00
1585105600000,,,,0.00,,,,,,,,,,,,,,,,,,,,
1585173391000,,,,,,0.03,,,,,,,,,,,,,,,,,,
