timestamp,​0xe004e9f9096F1f002A05Dc0b80FE589d716d7794,​0x0857efb4e63F5528159822B3f2E88e97593c23b0,​0x836e23d8F2A08106C3aF43D640eFdF1FDa868142,​0x2018C700CAa9C85F678A573c8090E2F26337F222,​0x7f4de4a3D9e5bAdff285743Af9a1697B1967C548,​0xFf862011df76c91705189946621078f28Fd555c7,​0x5bE990DCEf9e04515D711C5DEDD8a724B4F22053,​0xD60b471BD8C62dc4d2f04493413c6CB73b7ce464,​0xbE3cc2Cda2B3E4e5baC7ddc7Da88cF90d3adEC08,​0x1725688C21141812Cb8BaAb750a7621eDb97dF16,​0xd0eb67A0d62b1c0f658cFfd38D05b2dd0Ea5D66d,​0x0B23Cf6Bb6a713461b9640511E7F2D7B92aA075A,​0xa131d5F149ae1f162Cf92c4aFcCd8E5a1F5D6F4F,​0x4b0cc7784063e04204FD16B1eB9788EAB9Ae5943,Other
1581574720000,,,,,,,,,,,,,,,0.00
1582240159000,,,,0.08,,,,,,,,,,,
1589308656000,,,,,,,,,0.01,,,,,,
1589509055000,,,,,,,,0.08,,,,,,,
1590719602000,,,0.27,,,,,,,,,,,,
1591457899000,,,,,,,,,,,,,,,0.00
1592727831000,,,,,,,,,,,,,,0.09,
1592927890000,,,,,,,,,,,,,0.18,,
1593262962000,,,,,,0.09,,,,,,,,,
1593599509000,,,,,0.10,,,,,,,,,,
1593666201000,,,,,,,,,,,,0.17,,,
1594199176000,,,,,,,,,,0.63,,,,,
1594734577000,,,,,,,,,,,0.12,,,,
1595471028000,,,,,,,,,,,,,0.24,,
1596339947000,,,,,,,,,,,,0.19,,,
1597472334000,,,,,,,,0.52,,,,,,,
1597805915000,,,,,,,0.10,,,,,,,,
1598204486000,0.10,,,,,,,,,,,,,,
1598404244000,,,,,,,,0.33,,,,,,,
1600719844000,,0.40,,,,,,,,,,,,,
1605120052000,,,,,,,,0.49,,,,,,,
1606181350000,,,,,,,,0.29,,,,,,,
1609232681000,,,,,,,,0.85,,,,,,,
1611885719000,,,,,,,,0.20,,,,,,,
