timestamp,​0x464682D169f203cC8B9E9330369757f34d44e51B,​0x7e29496ecC9C809aFfe9fcd482aa76bb01f7ab87,​0x4DD7F8c0eD073dB8e57D21FeDb5619559893a4fC,​0x8f95e5E4075f68938d37Fd121C8Cf0f41E1AB637,​0x781b6EecE2E7ba81cc8782956FfB7C286107cDE9,​0x9016aA99b98128ba990097eA3F3D60b5e40775e4,​0xa5F94aC4202315d2186afc725fF380F283A06080,​0xB6b91942b2852e11963b1F6f1A3D03c59D1DE8d4,​0x37860b28F8cBd4B0cbED92e1416237981D7557E8,​0x14aE683317D9d27957F56C78e9308E7D54BC3b36,​0x58e11792D0637540ab1f430E4659693659Ea2734,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x0E71F7a6bBAE357A1Cd364173aE69D3fb2e539e3,​0xFd15b64666B36B789e6770f546e0ad045e1214eA,​0x78E87757861185Ec5e8C0EF6BF0C69Fa7832df6C,​0x48b8d30c4EEdA5716A047b817De01f158bE4CF8b,​0xcfFB64b3957b62e52A548422825697953d601D61,​0xCD06b251eeA4cF9daf67D3e0ebCB9F4F4bA91189,​0x52cA93AFcC8bA54f7e5c08dC7371A2C51Bd55df6,​0x9ca72d50650a0254238f4F0AfAA8f05F18BEB632,​0x2E66ED26258C186e931a7dd2AedbF944c9a0d2FF,​0x97deC872013f6B5fB443861090ad931542878126,​0xd32C9eC236919dc018f2545C8EC9C80FA3d9731a,​0x56aFFa87c32a40401dffA6B3822651D5F01216B6,​0xD0be2821cd565afAd204cA058b61bB3829b786A0,Other
1592727831000,,,,0.21,,,,,,,,,,,,0.00,,,,,,,,,,
1592794125000,,,,,,,,,,,,,,,,,,,,,,0.21,,,,
1592995513000,,,0.21,,,,,,,,,,,,,,,,,,,0.21,,,,
1593732971000,,,,,,,,,,,,,,,0.23,,,,,,,0.09,,,,
1593800162000,,,,,0.45,,,,,,,,,,,,,,,,,,,,,
1593866326000,,,,,,,,,,,,,,,0.22,,,,,,,,,,,
1594000010000,,,,,,,,,,,,,,,,0.23,,,,,,,,,,
1594067228000,,,,,,,,,,,,,,0.23,,,,,0.46,,,,,,,
1594133831000,,,,,,,,,,,,,,,,,,,0.22,,,,,,,
1594266589000,,,,,,,,,,,,,,,,,,,0.22,,,0.22,,,,
1594467342000,,,,,,,,,,,,,,,,,,,,,,0.24,,,,
1594534363000,,,,,,,,,,,,,,,,,,,0.22,,,,,,,
1594600559000,,,,,,,,,,,,,,,,0.00,,,,,,,,,,
1594667176000,,,,,,,,,,0.41,,,,,,,,,,,,,,,,
1594734577000,,,,,,,,,,0.40,,,,,,,0.20,,,,,,,,,
1595068938000,0.22,,,,,,,,,,,,,,,,,,,,,0.21,,,,
1595338300000,,,,,,,0.22,,,,,,,,,,,,,,,,,,,
1595471028000,,,,,,,,,,,,,,,,,,,0.21,,,,,,,
1595604570000,,,,,,,,,0.72,,,,,,,,,,0.20,,,,,,,
1595738927000,,,,,,,,,,,,,,,,,,,0.18,,,0.52,,,,
1595872747000,,,,,,,,,,,0.33,,,,,,,,,,,,,,,
1596140024000,,,,,,,,0.16,,,,,,,,,,,,,,,,,,
1596339947000,,,,,,,,,,,,,,,,,,,0.29,,,,,,,
1596540683000,,,,,,,,1.20,,,0.55,,,,,,,,,,,,,,,
1596606713000,,,,,,,,0.78,,,,,,,,,,,,,0.28,,,,,
1596674074000,,,,,,0.17,,,,,,,,,,,,,,0.70,,0.37,,,,
1598536356000,,,,,,,,,,,,,,,,,,,,,,0.13,,,,
1598734918000,,,,,,,,,,,,0.13,,,,0.14,,,,,,,,,,
1599461746000,,,,,,,,,,,,,,,,,,,,,,0.13,,,,
1599991924000,,,,,,,0.50,,,,,,,,,,,,,,,,,,,
1600057881000,,,,,,,,,,,0.37,,,,,,,,,,,,,,,
1600389220000,,,,,,,,,,,,,,,,,,,,,,0.29,,,,
1600654235000,,,,,,,,,,,,,,,,,,,,,,,0.14,,,
1600986137000,,,,,,,,,,,0.32,,,,0.47,,,,,,,,,,,
1601053079000,,,,,,,,,,,,,,,,,,,,,,,,0.15,,
1601459154000,,,,,,,,,,,,,,,,,,0.15,,,,,,,,
1601525869000,,,,,,,,,,,,,0.29,,,,,,,,,,,,,
1601660827000,,0.45,,,,,,,,,,,,,,,,,,,,,,,,
1601931072000,,,,,,,,,,,,,,,,,,,,,,,,,0.16,
