timestamp,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x93a8515D674C3d3235BEEa0dE7aE3099aA34b1a5,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0x706D590A91166554d8bBb3Caafb4C70418AF7144,​0x4676a9576315287659d0f9902D288bdfe49604ab,​0x97deC872013f6B5fB443861090ad931542878126,​0x0a236B41aDd0073df05EaC5Fc8505Ad745C7859D,​0x84D62A75fF6D3C3DeF8587A4ed50738efebf8a12,​0x25C40bC17E4BF2f8C23aCc99a7A38568f0890157,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0x00CD1b195B403a5e3D6534afD942C928fC9217f0,​0x2AD672FDA8a042c4c78C411bF9d4f1b320aA915a,​0xF3544ac9519c5aD9438c8989c1C0C0E2754a9E47,​0x3F3e18aef051dC2b489CEf138BB9e224F78f7117,​0xDFf2AA5689FCBc7F479d8c84aC857563798436DD,​0x4ed9d4d7840c2648Bc54D17b013D7a4ec80CfCE8,​0x1814222fa8c8c1C1bf380e3BBFBd9De8657Da476,​0x2a35873a9f53D102AE222fC5d15a224BC313bcAf,​0x3a244ebbA100a4c4bA994B6F08D39333901C756b,​0xbD2a43799B83d9d0ff56B85d4c140bcE3d1d1c6c,​0x09cabEC1eAd1c0Ba254B09efb3EE13841712bE14,Other
1580049245000,,,,,,,,,,5.02,,21.07,,,,,,4.20,,,,
1580114658000,,,,,,,,,,18.21,,26.00,,,,,,,,,,
1580180893000,,,,,,,,,,6.00,,,,,,,,,,,,
1580247630000,,,,,,,,,,11.34,,26.86,,,,,,,,,,
1580313366000,5.65,,,,,,,,,13.47,,55.44,,,,1.91,,,,,,
1580380051000,,,,,,7.10,,,,9.71,,12.35,,,,5.83,,,,,,
1580446477000,,,,,,,,,,0.10,,41.63,,,,,,,,,,
1580512997000,,,,,,,,,,10.79,,8.36,,,,,,,,,,
1580579921000,,,,,,,,,,11.00,,30.28,,,,,,,,,,
1580645575000,,,,,,,,,,14.18,,22.93,,,,,,,,,,
1580711822000,,,,0.66,,,,,,3.64,,23.84,,,,,,,,,,
1580778615000,,,,2.19,,,,,,11.92,,5.19,,,,,,,,,,
1580844182000,,,,0.39,,3.73,,,,17.29,,20.44,,,,,,,,,,
1580910496000,,,,2.35,,,,,,18.23,,41.34,,,,,,,,,,
1580977343000,,,,9.89,,6.46,,,,31.89,,7.01,,,,,,,,,,
1581043789000,,,,0.44,,,,,,19.53,,,,,,,,,,,,
1581110121000,,,,2.90,,,,,,12.27,,22.12,,,,,,,,,,
1581177428000,,,,0.65,,,,,,4.21,,,,,18.19,,,,,,,
1581243665000,,,,,,,,,,4.76,,,,,9.24,,,,,,,
1581310184000,,,,0.97,,5.34,,,,,,,,,,,,,,,,
1581375300000,13.27,,,0.41,,,,,,11.43,,,,,16.18,,,,,,,
1581441429000,5.64,,,1.11,,5.45,,,,32.37,,,,,9.84,,,,,,,
1581508790000,0.12,,,2.49,,0.31,,,,51.84,,,,,15.71,,,,,,,
1581574720000,,,,2.89,,,,,,16.40,,,,,13.27,,,,,,,0.00
1581641265000,7.86,,,2.38,,0.21,,,,27.95,,,,,3.65,,,,,,,
1581707956000,0.21,,,0.55,,,,,,22.76,,,,,9.69,,,,,,,
1581774043000,6.25,,,1.11,,0.19,,,,14.26,,,,,11.99,,,,,,,
