timestamp,​0x61efDc88bb6Dc02A18DFB9a240800398599BAC64,​0x94d97831830E26630164D4A40d7b093Da3EB3e4B,​0x0056D1fd2ca3c0F3A7B6ed6CDd1F1F104B4BF9A9,​0xf4dF982Bb39d4949BDA2CeD2828c673b801Eb51c,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0x9709a9f77d4349e1DA4220f1458fBe9339d612E3,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x97deC872013f6B5fB443861090ad931542878126,Other
1599263811000,,,,,7.67,,,,
1599330041000,,,,,5.56,,,,
1599793183000,,,,,3.62,,,,
1599859185000,,,,,1.93,,,,
1599925296000,,,,,1.29,,,,
1599991924000,,,,,2.81,,,,
1600057881000,,,,,3.00,,,,
1600125024000,,,,,0.60,,,,
1600456406000,,,,,17.84,,,12.59,
1600589122000,,,,,2.25,,,,
1600654235000,,,,,4.70,,,,
1600719844000,,,,,2.08,,3.73,,
1600786926000,,,,,5.45,,,,
1600852525000,,,,,4.01,,,,
1600920149000,,1.66,,,6.84,,1.46,7.85,
1600986137000,,,,,8.99,,,,
1601053079000,,,,,2.02,,,,
1601120014000,,,,,3.99,,,,
1601187908000,,,,,1.35,,,,
1601255204000,,,,,,0.40,,,
1601323528000,,,,,4.17,,,,
1601390741000,5.21,,,,27.88,,,,0.12
1601459154000,,,0.65,0.39,17.64,,4.75,,
1601525869000,4.47,,,,7.93,,,,
1601592730000,5.58,,,3.61,10.31,,,0.53,
