timestamp,​0xf6D3b696F29Fd97c5063f2E6E83C0844F106f327,​0x863b89bDabA9E6B60C94bF216a62995b2d2aEBa0,​0x17559a8138E72C6Ef34512b11685dedC509BaDcf,​0xb99e4832991165eE7DB8a843ea9c1bA4857633B9,​0x736f1536CFd66AE3E27F6d62c67a9D9d9A431326,​0x2870fa7c3C615f324151a88B10f0e1455Ee292D8,​0x72B0bC97E2B7dFa0F9d376dA9fb392D871011313,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0xdC97D472e3e4e8fb5b4e1654Fe0009B101a3cdc6,​0xB42C464652683B3e8C725e9AEAE096c3179a4A5c,​0x248EE163064CEC75103EFB80EA0014fBCd96693f,​0x2406A9333378E30B9581B8356bb81B4f9BDFF005,​0x3c298a1F47C1929a52c11FaC06182b310B49b0d5,​0xb7d0596e636dBEc773075372868b14d5a224C0Fd,​0xCa253fE65D86E0a1848864184C170FaaC021F862,​0xd14b520b9559779cE7B68942eE9d70C198c77536,​0xEae9209F77eb73f3299a160e0DBCbd25e687d46D,Other
1575979374000,,,,,,,,,,,,,,,,,,0.00
1576208669000,,,,0.24,,,,,,,,,,,,,,
1576372313000,,,,0.25,,,,,,,,,,,,,,
1576541361000,,,0.19,0.96,,,,,,,,,,,,,,
1576627001000,,,0.37,,,,,,,,,,0.28,,,,,
1578129566000,,,0.30,,,,,,,,,,,,,,,
1578724741000,,,0.12,,,,,,,,,,,,,,,
1578790822000,,,,,,,,,,,,,,0.70,,,,
1578923015000,,,,,,,,,,0.28,,,,,,,,
1578989540000,,,,,,,,,,,0.70,,,1.00,,,,
1579188604000,,,,,0.25,,,,,,,,,,,,,
1579254375000,,,,,,,,,,,,,,0.26,,,,
1579320115000,,,,,,,,,,,,,,,,,,0.00
1579783170000,0.95,,,,,,,,,,,,,,,,,
1580114658000,,,,,0.52,,,,,,,,,,,,,
1580247630000,,,,0.52,,1.23,,,,,,,,0.13,0.46,,,
1580313366000,,,,,0.44,,,,,,,,,,,,,
1580380051000,,,,0.70,,,,,,,,,,,,,,
1580446477000,,,,0.55,,,,,,,,,,,,,,
1581043789000,,,,,0.35,,,,,,,,,,,,,
1581110121000,,,,0.25,,,,,,,,0.56,,,,,,
1581441429000,,,,0.83,,,,,,,,,,,,,,
1581508790000,,,,,,,0.47,,,,,,,,,,0.02,
1581574720000,,,,0.74,,,,,0.30,,,,,,,,0.19,0.00
1582173039000,,,,0.34,,,,,,,,,,,,,,
1582505376000,,,,0.69,,,,,,,,,,,,,,
1582571821000,,0.01,,,,,,,,,,,,,,0.44,,
1582705647000,,,,0.70,,,,,,,,0.50,,,,,,
1583368317000,,0.01,,,,,,,,,,,,,,,,
1583633541000,,,,,,,,0.41,,,,,,,,0.17,,
