timestamp,​0xEC9d4f95e313A99a6983bDBA578E7b8aCF2f0f11,​0xc889F339e8eb7E8C2626cF6B6aD2ab907e048Af1,​0x6CB6E55fB207B014c18c944Ab5dC05f95ab5d804,​0xE33C8e3A0d14a81F0dD7E174830089E82F65FC85,​0xAe3C67b8aA12e458F2b4EafC0e9209710582C9D3,​0x3E339cE659ebd67318f8fAB1451bFE47d327e18B,​0x56a8521Ce79389D60f15c3Aae3d793e65454A393,​0xd119911D162b4bda5b3122d6fA73be99DaD5aAF8,​0xb7dBed10DBB8d3E2cc4cBE439d300715CE319A29,​0x64C5453c4Cfb97b604A2c4b1eb4931271AB16569,​0xe9519677e6ec8D2D6BFaB92A059529feA6075d37,​0x2e215462301587e621C7292F7D9668041cbCE915,​0x020cFa8D14E643658E3d21073a87667d14064678,​0x87d80DBD37E551F58680B4217b23aF6a752DA83F,​0xbd8F2ca284672463Da292B27FcF2560476b829B0,​0xDab3c2754Ff5e546E9272D718Ece4470cC562Fb1,​0x8371058e13734c2535DA11A6d8539D348cf1d30f,​0x88Aa1cbc781bc4418edce1db9EdEBf354d74410a,​0x71f35825a3B1528859dFa1A64b24242BC0d12990,​0xb79384C3485651D3Af4aad651a0255aA17F1d75D,​0x26C609b3bBe6B15baA43d34D0f1dC3d8676076C9,​0x693c188E40F760ecF00d2946ef45260b84FBc43e,​0x8bc9d6Fe563Db45574f046982706A1A29b263673,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0x1b68E8910D07fd4b958447e7F5f11E3122a4EA21,​0x472f4069E68E84e16b150E0ceeeBe5e48E78319c,​0xe80d06389Ef23312389F173A7B6f66a12543640e,​0x19b84dD334eD6FFa2D59b81DcF28E81C181E66c2,​0xbAFC7F135CB236Eb11Bf4C86fe36244F5c06246f,​0x80b14272147f2df0160a061a9088B2B558225241,​0xD12474e97237c1C0bBA662c94Dbf1E01AD6e3562,​0xc53E9654e62fb402ec1e43af4d3744944a368311,​0x7Ac43F92cd20a4DFBBf970c7035B671E842DB0cd,​0xe5878d7b0216D255A5812C508eB0112221cecE93,​0x841e79E1fe1eFee58dB0417C8b429679Bbd336B0,​0xF6FB09a41fa6C18cEbC1e7C6F75A8664D69e4d48,​0x00000f2D00b7a76100366C0013C2000595eE0067,​0x048F6dfB9e674C1962d447924baFFA9C8F68761C,​0x337cfe8332A436D44c8AabF44e57D97ee3d5E6c0,​0x333Ad11501E2a8123cfAf18d99EDB494921B1Eaf,​0xbB36cE3567cCb9Dce107CC380AF102D960DaA378,​0xC9d48fDAF3Dde28B23c5151B690b0438EdF82BC2,​0x01f15AD929ab47e2b68a1306248a20cec5978df3,​0x860bd2dba9Cd475A61E6d1b45e16c365F6D78F66,Other
1569953471000,,,,,,,,,,,,,,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,
1570021093000,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,0.06,,,,,0.55,,,,,,,,,,,,
1570088581000,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,0.14,0.07,,,,,,,,,,,,,,,,,
1570156245000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,
1570223512000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71,,,,,,,,,,,,,,,,,
1570290984000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,,,,,,,,,,,,,,,,,
1570358020000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06
1570492273000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,,,,,,,,,,,,,,,,,
1570560314000,,,,,,,,,,,,,,,,,,0.61,,,,,,,,,,0.30,,,,,,,,,,,,,,,,,
1570628456000,,,,,,,,,,,,,,,,,,0.44,,,,,,,,,,,,,,,,,,,,,,,,0.44,,,
1570696365000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,
1570764407000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.40,,0.15,,,0.03
1570832121000,,,,,0.57,,,,,,,,,,,,,,0.31,,,,0.23,,,,,,,,,,,,,,,,,0.22,,,,,0.72
1570900657000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,1.25,,,0.00
1570967603000,0.15,,,,,,,,,,,,,,,,,,,0.14,,,0.15,,,0.60,0.35,0.01,,,,,,,,,,,,0.22,,,,,1.16
1571036079000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.17
1571171084000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19
1571239896000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70,,,
1571376291000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11
1571444011000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15
1571783991000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1572129485000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27
1572267917000,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,0.62,,,,,,,,,,,,,,,1.71,,,0.40
1572337649000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88,,,,,,,,,,,,,,,0.88,,,
1572406531000,,,,,,,,,,,,,,,,,,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34
1572476793000,,,,,,,,,,,,,,,,,,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17
1572546064000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88,,,,,,,,,,,,,,,,0.52
1572684939000,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,0.90,,,,,,,,,,0.00
