timestamp,​0xa131d5F149ae1f162Cf92c4aFcCd8E5a1F5D6F4F,​0x764Be127a621500726c32cF5bbC4e532EAe39b6e,​0x535AAAd877C65fd4cbFA531b55f4E18c85513019,​0x5bE990DCEf9e04515D711C5DEDD8a724B4F22053,​0x75DddfB045C0f0EF72d940FE935Bf36e773eB05b,​0x0857efb4e63F5528159822B3f2E88e97593c23b0,​0x0B23Cf6Bb6a713461b9640511E7F2D7B92aA075A,​0xD60b471BD8C62dc4d2f04493413c6CB73b7ce464,​0xB601c4ee371dd8b9908DDDCf7901f864D7F9bafb,​0x5a6Db48743060bb658E431c6a124FAD0CbB18D34,​0xa50b1c39cbA1680B0f3D84a2DC7b2aD324df3f39,​0xcFB25FCEf8928cF6e5a7992B4Ab056F2387a325F,​0x55Aca58c2944942F4f94550C2a41e76480Dd9818,​0x8c9Fe2c5269e8C492635d62c49531078A7FDC476,​0xFD525Cc58300dD3F50E8bD904D807aB368828Dfb,​0xA546F7394DFf0d8A4cE34bD6844913FD70B2808c,Other
1596140024000,,,,,,0.37,,,,,,,,,,,
1596339947000,,,,,,,0.16,,,,,,,,,,
1596406368000,,,,,,,0.15,,,,,,,,,,
1596606713000,,,,,,,0.14,,,,,,,,,,
1597472334000,,,,,,,0.24,,,,,,,,,,
1597805915000,0.13,,,0.06,,,,,,,,,,,,,
1598404244000,,,,,,,,0.19,,,,,,,,,
1598998765000,,,,,,,,,0.08,,,,,,,,
1599727959000,,,,,,,,,,,,,,,0.06,,
1599859185000,,,,,,,,,,,,0.08,0.34,,,,
1600456406000,,,,,,,,0.36,,,,,,,,,
1600719844000,,,,,,,,,,,,,,0.06,,,
1601796104000,,,0.07,,,,,,,,,,,,,,
1602065856000,,,,,0.07,,,,,,,,,,,,
1602202095000,,,,,,,,,,,0.08,,,,,,
1603594450000,,0.04,,,,,,,,,,,,,,,
1604655075000,,,,,,,,,,0.10,,,,,,,
1605120052000,,,,,,,,0.37,,,,,,,,,
1605583771000,,,,,,,,,,,,,,,,0.07,
1606777403000,,,,,,,,0.01,,,,,,,,,
1609232681000,,,,,,,,0.47,,,,,,,,,
