timestamp,​0x2E642b8D59B45a1D8c5aEf716A84FF44ea665914,​0x87d15aFD0efA47aA66d7F3f34c594A4448E2acA2,​0x97deC872013f6B5fB443861090ad931542878126,​0x60091dFD9d10C39FD265DcAC302d3Dc54a3257bb,​0x1b7198Eb1eA3917EA480B1d66efb3637e8a21a1f,​0x693c188E40F760ecF00d2946ef45260b84FBc43e,​0xeeA3fdDf2904f8f693c01C59fc83e649Bcd4C4Ed,​0x61ecDCe1FEe5ab1aB99bEe0f4f09902A1F2a442b,​0xd6f64c02c14Ac390bf5f772de6CD590f9412bD1C,​0x34362f0D86b0E180e84D2fa6dD91E188bf65B3dE,​0x4eFD1614362A43c30D99378a49C4bF18ee52e77e,​0x929D99600BB36DDE6385884b857C4B0F05AedE35,​0xB345d09aDe5C708B7E6e76D1Aa1580472d800eb2,​0x34C1116678B62fD7ca548EeA729D60ab1A566B39,​0x73d74B585eB4e2224EFee70AB3798C7E14a54a1F,​0x0933E869837c83D74DDC1f0f8f6B17F88Dcfa9B2,​0x9669A7079Aa61D8c451a82700C05a09415BA7e4F,​0xEC9d4f95e313A99a6983bDBA578E7b8aCF2f0f11,​0xB1F933A61dc4D1B30621E593F2fB4eE83063aB30,​0x2755865624377194e5e10934bfD3c6d9265c7e2b,​0x6FF83014c69DA30F78bEa257190F7B096410eD73,​0xa55f9d672d0f72C1f7dCd7fe51095543A2402424,​0x60185A14575402A6c5c752Dd42bC7E5da9C5045C,​0xeB425dFfD3d76dc7cF5BBBA8dF1ae5DD168b7163,​0x753286b69F927986A066717D5a28f9F23267Bc69,​0xA6da53FeBDd73f372842B449784379Da49EE6873,​0x5AB49f3Ea1BE3c920Ec12f2c891d6cF748A8036C,​0xfC249079B1c477680C321F9DBb6d91452AC8443e,​0x9650F4feDd1e6ce63621479A4bf5F4d743E6F958,​0x5b32bed0Fd73008e6187906E1d743FF0e4273948,​0xbae5677c85C7a42b468eb548A1ff38b80B8aab13,Other
1587501138000,,,,,,0.00,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,
1587568237000,0.00,,,,,,,,0.01,,,,,,,,,,,,0.01,,,,,,,,,,,
1587634602000,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,
1587701744000,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,0.00
1587768625000,,,,,,,,,0.03,,,,,0.01,,,,,0.01,,0.01,,,,,,,,,,,
1587836062000,,,,,,,,,0.01,,,,,,,,,,,,0.00,,,,,,,0.00,,,,
1587902337000,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,
1587969951000,,,,,,,,,,0.01,,,,,,,,,0.00,,0.00,,,,,,,,,,,
1588036978000,,,,,,,,,,,,0.01,,0.01,,,0.01,,,,0.00,,,,,,,,0.02,,,
1588104246000,,,,,,,,0.00,,,,,,,,,,,,,0.00,,,,,,,,,,,
1588170340000,,,,,,,,,,,,,,,,,,,0.00,,0.00,,,,,,,0.03,0.01,,,
1588237076000,,,,,,,,,,,,,,0.01,,,,,,0.02,,,,,,,,0.01,,0.02,,
1588305064000,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,0.02,,,,
1588371539000,,0.02,,,,,,,,,,,,0.01,0.02,,0.04,,,,0.01,,,,,,,,,,,
1588438821000,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,
1588506516000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.07,,,0.00
1588572377000,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,
1588638430000,,,,0.04,,,,,,0.01,0.00,,,,,,,,,,,,,,,,,,,,,
1588705743000,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,
1588771981000,,,,0.05,,,0.03,0.00,,,,0.01,,0.04,,,0.00,,,,,,,,,,,0.07,0.02,,0.01,0.00
1588839881000,,,,,,,,,,,0.15,,,0.03,,,,,,,,,,,0.06,,,,0.00,,,
1588906152000,0.02,,,,,,,,,,,,,,,0.03,,,,,,0.02,,,0.05,,0.02,,,,,
1588972800000,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,
1589040204000,,,,,,,,,,,0.02,,,,,,,,,,,,,0.14,,,,,,,,
1589107927000,,0.02,,,0.02,,,,0.16,,,,,,,,,,,,,,0.03,,,0.02,,,,,,
1589174391000,,,,,,,,,,,0.14,,,0.01,,,0.00,,,,,,,,,,,,0.01,,,
1589241093000,0.02,,,,,,,,,0.24,,,,,,,,,,,0.00,,,0.12,,,0.01,,,,,
1589375621000,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,
1589509055000,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,0.11,,,,
1589576701000,,,,,,,,,,0.01,,,,,,,,0.02,,,,,,,,,,,,,,
1589644333000,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,
1589711000000,,,0.02,,,,,,,0.01,0.19,,,0.03,,,0.01,,,,0.00,,,,0.02,,,,,,,0.00
