timestamp,​0xCF6Db8FdEE50021D31d63296774808a149E15196,​0xD0b10FFd0647Fa3C7c7D7c9430343dFD3152d34c,​0xd0A8b9B78eEB93f932a4dCc9b9bcdC83A9255B31,​0x61efDc88bb6Dc02A18DFB9a240800398599BAC64,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0xb7520a5F8c832c573d6BD0Df955fC5c9b72400F7,​0x1D7868F041B38A77d80A8cfE9A5Ce06313908130,​0xD72F55F7E93D3Fb0F04262a31072fccd871E92F8,​0x0AE62cCDb17f4f8C1eec2c823400E2AC8EdB9Acb,​0x9E493984A0e94B859637284A53a0EAd6D9979d34,​0x97deC872013f6B5fB443861090ad931542878126,​0xA0BB038A8981fC526FecF3fCEA8701312D932e86,Other
1605849265000,,,,,0.43,,,,,,0.74,,
1605915938000,,,,,8.48,,,,,,5.07,,
1605982271000,,,,1.11,1.37,,,,,,2.24,,
1606048118000,,,,0.93,12.94,,,,,,,,
1606114478000,,,,,6.12,,,,,,0.93,,
1606181350000,,,,,1.75,,,,,,0.53,,
1606247275000,,,,,3.86,,,,,,,,
1606314098000,,,,,5.74,,,,,,0.37,,
1606380252000,,,,,2.35,,,,,,,,
1606446290000,,,,,4.01,,,,,,,,
1606513752000,,,,,2.56,,,,,,0.93,,
1606579323000,,,,,0.50,,,,,,1.59,,
1606644580000,,,,,3.12,,,,,,3.00,,
1606711814000,,,,1.15,1.84,0.19,,,,,1.15,,
1606777403000,0.38,,,,1.69,,,,,,1.61,,
1606843839000,,,,,6.84,,,,,,1.08,,
1606911253000,,,,,1.26,,,,,,1.09,,
1606976748000,,,,,0.74,,,,,,,,
1607043153000,,,,,5.87,,,,,,0.75,,
1607109266000,,,,,12.71,,,,,,0.35,2.40,
1607176193000,,,,,4.81,,,,,,1.20,,
1607242529000,,,,,1.55,,,,,,0.11,,
1607309267000,,,,,0.56,,,,,,,,
1607375492000,,,,,1.01,,,,,,,,
1607441996000,,,,,1.47,,,,,,,,
1607508150000,,,,,2.70,,,,,,0.57,,
1607573702000,,,,,4.98,,,0.23,,,0.66,,
1607640980000,,,,,1.02,,0.24,,,,,,
1607708371000,,,,,1.96,,,,,,1.10,,
1607774843000,,,,,0.19,,,,,,,,
1607840923000,,0.34,,,0.26,,,,,,,,
1607907786000,,,,,0.61,,,,0.20,0.27,,,0.11
1607973990000,,,,,0.34,,,,,,,,
1608039974000,,,0.31,,0.16,,,,,,,,
1608106809000,,,,,0.12,,,,,,,,
1608172715000,,,0.31,,1.32,,,,,,0.41,,
1608239436000,,,,,2.89,,,,,,,,
1608372164000,,,0.45,,2.47,,,,,,2.05,,
1608437899000,,,1.38,,1.83,,,,,,,,
1608504061000,,,0.91,,0.86,,,,,,0.42,,
1608569893000,,,0.21,,0.64,,,,,,,,
1608636545000,,,0.55,,4.94,,,,,,,,
1608702922000,,,0.56,,3.29,,,,,,0.89,,
1608768583000,,,0.48,,1.72,,,,,,,,
1608835449000,,,0.41,,4.56,,,,,,0.44,,
