timestamp,​0xE9EfecF200366c5EFD7Ae22087cAAbad60361781,​0x5880b6Af25f306E3600aD9B61882369EA2ffe8aF,​0x5FfB004C2a93D6E46C09f75d1565350F92f65C89,​0xA50f8cb13FbE1fdC9C3D1372EAAC8215E9B848CF,​0x1AF64AF9BE7283552880F64eA78062D653DA90F9,​0x254335C3171dA9c5795EE5745657bE8df20B6480,​0x64cEf715F149ea9dc4a033d9fA54a8659fe9b0aA,​0xA91a3b6Ba63E66394039FBcb75E298309089700D,​0x960145F04Df387ccbE47dE1a151fB1A4DB0755d0,​0xAF4774798b5a9c6f831CAE5e56d8B12d25Ae3972,​0x4ecca351F9c6cbFE1BC8d725206b1757b784B4Ae,​0xa46Be7AF2ad3ec330815183e0ea9c73e4C1775E9,​0xe77e585EFCA2Bb31363462Ca9eA4d8E2B82ed2Ce,​0x456c6D6b0923A69FF64EeaC872572536f475eA05,​0x2e02DafF8Fc6412493fbFb4C9DE1F5064de34D67,​0xA4005f0C192EE6bd2F8CBeB905A8Cd416Fac81a6,​0x3031733ab61Efcc1182B764539252fe5831fb65c,​0x2DCDf77e4F12BFb9E153833D0F69c55061282Ae5,​0xA2881A90Bf33F03E7a3f803765Cd2ED5c8928dFb,Other
1569953471000,,,,,,0.01,,,,,,,,,,,0.01,,,
1570021093000,,,,,,,,,0.01,0.06,,,,,,,,0.09,,
1570156245000,,,,,,,,,,,,,,,,,,,0.01,
1570290984000,,,,,,,,,,,,,,,,,,0.04,,
1570492273000,0.18,,,,,,0.14,,,,,,,,,,,,,
1570560314000,0.17,,,,,,,0.14,,,,0.24,,,,,,,,
1570628456000,0.15,,,,,,,,,,,0.23,,,,,,,,
1570696365000,,,,,,,,,,,,,,,,,,,0.14,
1570764407000,,,,,,,,,,,,0.29,,,0.28,,,,,
1570832121000,,,,,,,,,,,,0.15,,,0.15,,,,,
1581574720000,,,,,,,,,,,,,,,,,,,,0.00
1581907086000,,0.07,,,,,,,,,,,,,,,,,,
1581973926000,,,0.07,,,,,,,,,,,,,,,,,
1587033174000,,,,,0.09,,,,,,,,,,,0.09,,,,
1588705743000,,,,,,,,,,,,,,,,,,,,0.00
1589711000000,,,,0.05,,,,,,,0.22,,0.01,0.39,,,,,,
