timestamp,​0xF61dF1dD91ffff67b214c66caa39bd33e008CE14,​0xC0158745Da6f94AB9De9E2803FC10dF6Aaf225ac,​0x78f5aBE7b258A7D30815B459FC9F0aFC4b82A37b,​0x7D2999DD0f495aEAcE94129659aE15cC2675E210,Other
1551973041000,0.03,,,,0.00
1552039745000,,,,,0.00
1552108151000,0.13,,,,
1552175208000,0.27,,,,
1552376359000,0.01,,,,
1552443118000,0.03,,,,
1552510965000,0.03,,,,0.00
1552913957000,,,,,0.02
1553183074000,0.00,,,,
1553250112000,0.01,,,,
1553519035000,0.01,,,,
1553586275000,0.00,,,,
1553654855000,0.09,,,,
1553721327000,0.01,,,,
1553856960000,0.21,,,,
1553924945000,0.01,,,,
1554127394000,0.03,,,,
1554398543000,0.01,,,,
1554466199000,,,,,0.02
1554532618000,0.06,,,,0.01
1554733845000,0.03,,,,0.01
1554934968000,,0.03,,,
1555136518000,0.05,,,,0.00
1555203091000,,,,,0.03
1555539993000,0.03,,,,0.01
1555608237000,,,,,0.04
1556885912000,0.01,,,,
1559112912000,,,0.20,,
1562486913000,,,0.30,,
1566113085000,,,,108.60,
1574175364000,,0.50,,,
1574248216000,,0.42,,,
1580778615000,,0.06,,109.00,
