timestamp,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,​0xc2ef254f676D9c791d6672454876A7eB33560deB,​0xc095976BD18181f28626c5D48372DebD7a8Ce8d4,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0x736f1536CFd66AE3E27F6d62c67a9D9d9A431326,​0x7cF63aaB942A9c05E905Aa11d15E8492433005b5,​0x3591d261dA9Ca19D83DE5028D4Caa02f22aaf9Ee,​0x248EE163064CEC75103EFB80EA0014fBCd96693f,​0x0763A0C1512F0e10564e70a9A2039aB0CDb465aE,​0x85C5c26DC2aF5546341Fc1988B9d178148b4838B,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0x25BA6bADee1Ba37DF41D2CD23B45649Ee7Bb9C93,Other
1559449529000,,,,,,,,,,,,,0.00
1565173880000,0.00,,,,,,,,,,,,
1565308246000,0.00,,,,,,,,,,,,
1566044959000,0.00,,,,,0.00,,,,,,,
1566920101000,,,,,,,,,,,,,0.00
1575826602000,,,,,,,,,,,,,0.00
1576713534000,,,,0.01,,,,,,,,,
1576886273000,,,,0.01,,,,,,,,,
1577488582000,,,,,,,,1.00,,,0.09,,
1577659927000,,,,,,,0.10,,,,,,
1577746179000,,,,,,,,,0.35,,,,
1577918935000,,,,,,,,,,,,,0.00
1577997589000,,,0.15,,,,,,0.32,,,,
1578129566000,,,,,,,,,,,,,0.00
1578459841000,,,,,,,,,0.40,,,,
1578592894000,,,,,,,,,,,,0.01,
1578724741000,,0.05,,,,,,,,,,,
1579055596000,,,,,0.37,,,,,,,,
1579188604000,,,,,0.35,,,,,,,,
1579320115000,,,,,,,,,,,,,0.00
1579518909000,,,,,0.17,,,,,,,,
1579783170000,,,,,0.16,,,,,0.03,,,
1580114658000,,,,0.02,,,,,,,,,
