timestamp,​0x2870fa7c3C615f324151a88B10f0e1455Ee292D8,​0x74De5a94BF70F9e29370Cd34Ce87CaC1bb6AD872,​0x68FBabD02724d8164b3625bc3e6F9A45A5252969,​0xD92f15ca86d369B0026aF578d995D403055abD69,​0x248EE163064CEC75103EFB80EA0014fBCd96693f,​0x85C5c26DC2aF5546341Fc1988B9d178148b4838B,​0x49c3b0E0d2Ca7AC06e0330b3dbf8ad3c5d0C1761,​0x3195c3F94154364E897711e501e104f40D8e23fb,​0x6b5E7ec2C4440331A1458EdB021d6944FdAE530a,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0x263FC4d9Eb6da1ED296ea6d189b41e546a188D8A,​0x72338b82800400F5488eCa2B5A37270ba3B7A111,Other
1571716619000,,,,,,,,,,,,,0.00
1573742983000,,,,,,,0.00,,,,,,
1574677937000,,,,,0.15,,,,,,,0.21,
1575596839000,,,,,,,,,,0.02,,,
1575903384000,0.11,,,,,,,,,,,,
1578724741000,0.07,,,,,,,,,,,,
1579122050000,0.06,,,,,,,,,,,,
1579518909000,0.06,,,,,,,,,,,,
1580180893000,,,,,,,,,,,0.08,,
1580247630000,0.09,,,,,,,,,,0.07,,
1580446477000,0.07,,,,,,,,,,,,
1581574720000,0.07,,,,,,,,,,,,0.00
1582306851000,,,,0.01,,,,,,,,,
1582439543000,,,,,,0.05,,,0.27,0.17,,,
1582638796000,,,,0.06,,,,,,,,,
1582705647000,0.06,,,0.03,,,,,,,,,
1583302077000,,,,,,,,0.14,,,,,
1583435384000,,0.04,,,,,,,,,,,
1583502285000,,,,0.03,,,,,,,,,
1584168330000,,,,,,,,,,0.03,,,
1584234522000,,,,0.06,,,,,,,,,
1584300469000,,,,0.01,,,,,,,,,
1584367227000,,,,0.01,,,,,,,,,
1584500082000,,,,0.00,,,,,,,,,
1584833664000,,,,0.11,,,,0.15,,,,,
1584902413000,,,,0.03,,,,0.03,,,,,
1585438491000,,,,0.01,,,,,,,,,
1585704243000,,,,0.01,,,,,,,,,
1586036191000,0.08,,,,,,,,,,,,
1586169028000,0.24,,,,,,,,,,,,
1586236183000,0.19,,,,,,,,,0.10,,,
1587701744000,,,,,,,,,,0.08,,,
1589576701000,,,0.03,,,,,,,,,,
