timestamp,​0xe858a4bf603995a9156EdBd25ff06269D997839E,​0x7DFAEc58BE37ea410cD202aa19f4FDee51ed9e76,​0x827Bfb6d47B379aEE244f957b21Ed29CFca14B70,​0xF5DBd20a5345C7EAfC92038eFeBEE3C85F6b9B68,​0x5CB5aC3dA7Ec2d183c954325ae45f1cAB83b398e,​0xaF26F7C6BF453e2078f08953e4B28004a2c1E209,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0x02f3bf898D2306ae5263fC0C4BF348CA33328280,​0x76Cf794b40ae7fC93cf6DA66417820Db505e6479,​0x17559a8138E72C6Ef34512b11685dedC509BaDcf,​0xCE3D6Bd569f4f70B37A6f8295407e9a6117c3f49,Other
1578063677000,,,,,,,,0.96,,0.00,,
1578129566000,,,0.00,,,,,,,,,
1578327837000,,0.01,,,,,,,,,,
1578592894000,0.01,,,,,,,,,,,
1578989540000,,,,,,,,,,0.01,,
1579055596000,,,,,,,,,0.01,,,
1580579921000,,,,,,,0.09,,,,,
1581243665000,,,,,,,,0.08,,,,
1581441429000,,,,,,,0.01,,,,,
1581574720000,,,,,,,,,,,,0.00
1582040665000,,,,,,,,,,,0.02,
1582306851000,,,,,0.05,,,,,,,
1582372667000,,,,,0.05,,0.09,,,,,
1583302077000,,,,0.05,,0.04,,,,,,
