timestamp,​0xd5B3988eD0AB5ec375E51bB6fd10e205cEC16A2E,​0x3195c3F94154364E897711e501e104f40D8e23fb,​0x7e461d582a6286Ec922B5863453D8C19c2aAFE8e,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0x68Da072d601d2A88C62Be9AE75EBE650E5bc9a26,​0xB4f899501cB8ACDC2538a1B21872BDD17C18eFd8,​0x00a2Ddfa736214563CEa9AEf5100f2e90c402918,​0x00F8167fb6A90a0fd8A38d1a45C56007177d86b8,​0xd994b83F2Fca809704D6819935D89f3d0f5DE555,​0xf73061bF432D33C9E631cF0A2Fc759E16fC3d085,​0xD277a99c0d08DED3bDB253024bfF81E41496465c,​0x1C0Aa8cCD568d90d61659F060D1bFb1e6f855A20,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,Other
1581973926000,,,,,,,,,,,,0.02,,
1582040665000,,,,,,,,,,,,,0.01,
1582240159000,,,,,,,,,,,,0.95,,
1582372667000,0.20,,,0.02,,,,,1.02,,,,,
1583036689000,,0.11,,,0.10,0.10,0.68,,0.51,0.11,,,,
1583103301000,,0.14,,,,,,,,,,,,
1583302077000,,,,,,,,,,,,,0.11,
1583435384000,,,,,,,,0.32,,,,,,
1592393573000,,,,,,,,,,,0.10,,,
1601931072000,,,0.42,,,,,,,,,,,
