timestamp,​0x1530FC137f35b1b02299127696ed48BD1097B98d,​0x61592a6F682bBaBfD743aa7596Ee269E7448212C,​0xd04c453461a77b342fEA9d1fEc55861399401122,​0x47a5585f1664338A792d84fC4c972CD18641C3f0,​0xf599DD992feA3C597d859d17D98c41a54D5a2e4c,​0x17559a8138E72C6Ef34512b11685dedC509BaDcf,​0x61EC9B1F9547705227fE4854D4E90356a3d0A286,​0x442DCCEe68425828C106A3662014B4F131e3BD9b,​0x5140A2e4b1e8f39a3D06fBF135803Acc75b65955,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0xA642564cA13603BD425Daa5419f456DF25E57b78,​0x8a2c9f1eCdAB5d32811f7daf495E89B4058Fb233,​0x4caC902dE30F930F1B01C3A96FB5b3Ea061e2577,​0x8700bE2f3b706F7C151e2C8F0D91763a2AC0d9cc,Other
1578790822000,,,,,,0.00,0.01,,0.00,,,,,,
1579055596000,,,,,,,,,,,0.00,,,,
1579122050000,,,,,,0.00,,,0.00,,,,,,
1579188604000,,,,,,,,,0.00,,,,0.02,,0.00
1579254375000,,,,,,,,,0.00,0.03,,,,,
1579320115000,,0.01,,,,,,,,,,,,,
1579584998000,,,,0.04,,,,,,,,,,,
1579650516000,,,,,,,,,,,,,0.01,,
1579717286000,,,,,,,,,,,,,,0.00,
1579783170000,0.01,,0.06,,0.00,,,0.02,0.00,,,0.01,,,
