timestamp,​0x860bd2dba9Cd475A61E6d1b45e16c365F6D78F66,​0x693c188E40F760ecF00d2946ef45260b84FBc43e,​0x9096410692868EA33F77Ff1Ca3Ae3d9948FAf82C,​0xf777f981f5e5F4c6A95BeA1D8FF012C6e3CeF92b,​0x85C5c26DC2aF5546341Fc1988B9d178148b4838B,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,Other
1585969610000,0.19,,,,0.08,,
1586036191000,,,,0.10,,,
1586102872000,,,,0.23,0.11,0.21,
1586169028000,,,,0.09,,0.04,
1586236183000,,,,0.02,,,
1586301955000,,,,0.15,,,
1586368858000,,,,,0.05,0.09,
1586501245000,,,,,0.10,0.17,
1586568529000,,,,,0.04,,
1586635021000,,0.04,,,,,
1586900049000,,0.20,0.26,,,,
1587099968000,,0.04,,,,,
1587167698000,,0.11,,,,,
