timestamp,​0x747797665F5016895682EF40513A5EDD51261B89,​0xB958a8f59AC6145851729F73c7A6968311d8B633,​0xD8595ac2836B7a8040f046E751B42088436B6365,​0x90079aABC47b5BeA2dFC358d7114Ade57Ee39209,​0x05BB2C35cB56E149c310c5c1447d382eEda3A80d,​0x2C4Bd064b998838076fa341A83d007FC2FA50957,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,​0x0bc7355686A264DEDDc239dD30D4D201612aEB8B,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0x00B8FE7C85998bbAB5e71D2378e927B554b6d78f,​0x040F0c01b45Dfed88A397f9C3f00E48953d61490,​0xA2345C7DB212Ab9c478B1C206fB9b14C0E7c11C7,​0x0EeE7bcE7D0A676794fb8186AF5DBe7b6713806a,​0x2608E261b8df00025a6f69e13B1a4165Adf294c1,​0xa57Bd00134B2850B2a1c55860c9e9ea100fDd6CF,​0xef764BAC8a438E7E498c2E5fcCf0f174c3E3F8dB,​0x9BA6c9D09dB964771cB4D526188F6AF81e9bCF9e,​0x96FE94c07Ee88fC2A4B3E978D875202fD113e654,​0x2AF14b279C08d3627D34A5d8734c2eD771F3eF41,​0x82da82DBe384736e4Dd95615D8036Cc472773F5A,​0x57Ef012861c4937A76B5D6061bE800199A2b9100,​0x006004fFA18E3cf78fA3b50393ec44C1ab89cF6c,​0x074976a8D5F07dA5DADa1Eb248AD369a764bB373,​0x0087366b4a4e44FCB96b7D0897d68C3dAf45780a,​0x5D154c145Db2ca90B8aB5e8Fe3E716AfA4AB7Ff0,​0x74740c72e7b667344084772D2fdBB4646099c705,​0x13032DeB2d37556cf49301f713E9d7e1d1A8b169,​0xe1723E41058cb01859E9826022a390DC68a9AB71,​0x54bc3fE4E8C377246aCd5b4c25705c1b4324e859,​0x0000000000C90bc353314b6911180ED7E06019A9,​0x8c2fD1F3Ae6162FD3CB3157222DC3979B42E699e,​0xb146907392eD12031F7715B0376833E3f7C5b98c,​0x618b00849b3B0D42F05f7B4A64ae373B93e3d98F,​0x31fA3643F5CEF78C1790d494d7E3F2a59E2ad0c4,​0xF79Af034a5E41d70C90Bf5fFa1A79B3AC65Da72F,​0x09cabEC1eAd1c0Ba254B09efb3EE13841712bE14,​0x85C5c26DC2aF5546341Fc1988B9d178148b4838B,Other
1551140412000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1551242071000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1551342768000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1551431102000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.98,
1551500225000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.40,
1551568203000,,,,,,,,,,,,,,,,,,,,13.02,,,,,,,,,,,,,,,,,11.26,0.01
1551635562000,,,,,,,,,,,,,,,,,,,,1.01,,,,,,,0.03,,,,,,,,,,7.56,0.01
1551703372000,,,,,,,,,,,,,,,,,,,,33.08,,,,,,,0.24,,,,,,,,,,27.88,0.00
1551770679000,,,,,,,,,,,,,,,,,,,,10.64,,,,,,,2.96,,,,,,,,,0.98,,0.02
1551838168000,,,,,,,,,,,,,,,,,,,,99.92,,,,,,,2.13,,,,0.08,,,,,,,0.12
1551905102000,,,,,,,,,,,,,,,,,,,,22.36,,,,,,,4.84,,,11.56,0.04,,,,,2.82,,2.88
1551973041000,,,,,,,,,,,,,,,,,,,,4.89,,,,,,,10.59,,,20.54,0.30,,,,,2.09,,
1552039745000,,,,,,,,,,,,,,,,,,,,12.30,,,,,,,1.05,,,,1.65,,,,,,,
1552108151000,,,,,,,,,,,,,,,,,,,,32.91,,,,,,,5.50,,,9.53,2.21,,,,,,,
1552175208000,,,,,,,,,,,,,,,,,,,,11.24,,,,,,,3.17,,,6.03,0.04,,,,,,,
1552241652000,,,,,,,,,,,,,,,,,,,,,,,,,,,9.53,,,7.00,,,,,,,,0.00
1552309136000,,,,,,,,,,,,,,,,,,,,,,,,,,,3.34,,,16.00,0.78,,,,,,,
1552376359000,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,10.53,,,5.50,0.37,,,,,,,0.01
1552443118000,,,,,,,,,,,,,,,,,,,,,,,,1.99,,,2.04,,,5.51,1.29,,,,,,,0.21
1552510965000,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67,,,3.00,,,,,,,,0.01
1552578457000,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,9.20,,,,,,,,,,,
1552645085000,,,,50.31,,,,,,,,,,,,,,,,,,,,2.01,,,60.66,,,,4.59,,,,,,,
1552712032000,,,,20.11,,,,,,,,,,,,,,,,,,,,4.02,,,40.74,,,,10.87,,,,,,,
1552778665000,,,,35.40,,,,,,,,,,,,,,,,,,,,,,,43.04,,,,4.06,,,,,,,0.01
1552845464000,,,,,,,,,,,,,,,,,,,,,,,,2.02,,,29.40,,,,10.50,,,,,,,
1552913957000,,,,13.05,,,,,,,,,,,,,,,,,,,,2.22,,,175.98,,,,41.39,,,,,,,
1552981368000,,,,,,,,,,,,,,,,,,,,,,,,,,,9.04,,,,0.16,,,,,,,1.25
1553048481000,,,,10.04,,,,,,,,,,,,,,,,,,,7.52,,42.20,,11.19,,10.03,,19.87,,,,,,,
1553115278000,,,,,,,,,,,,,,,,,,,,,,,,,80.82,,,,,,32.12,,,,,,,5.32
1553183074000,,,,,,,,,,,,,,,,,,,,,,,,1.00,59.65,,,,,,27.31,,,,,,,0.07
1553250112000,,,,303.49,,,,,,,,,,,,,,,,,,,320.24,7.13,1075.95,,,,10.05,,58.00,,,,,,,25.72
1553317511000,,,,32.27,,,,,,,,,,,,,,,,,,,,,87.59,,,,,,44.58,,,,,,,
1553384962000,,,,,,,,,,,,,,,,,,,,,,,,2.00,58.99,,,,,,31.74,,,,,0.04,,
1553452320000,,,,,,,,,,,,,,,,,,,,,,,,2.08,38.24,,,,,,14.23,,,,,,,
1553519035000,,,,14.37,1.00,,,,,,,,,,,,,,,,,,,3.17,243.05,,,,,,64.45,,,,,,,
1553586275000,,,,14.06,,,,,,,,,,,,,,,,,,,,1.27,43.48,,,,12.05,,37.81,,,,,,,0.80
1553654855000,,,,,,,,,,,,,,,,,,,0.06,,,,,4.02,77.10,,,,,,45.94,,,,,,,1.02
1553721327000,,,,76.98,,5.03,,,,,,,,,,,,,,,,3.99,40.32,4.86,375.12,,,,10.23,,111.07,,,,,,,
1553789263000,,,,31.92,,9.32,,7.64,,,,,,,,,,,,,,7.61,,2.02,179.25,,,,9.98,,77.42,,,,,65.23,,29.58
1553856960000,,,,57.20,,,,10.00,,,,,,,,,,,,,,7.25,,2.03,97.29,,,,,,26.52,,,,,,,
1553924945000,,,,30.31,,,,5.02,,,,,,,,,,,,,,,,1.00,58.26,,,,,,35.78,,,,,,,
1553992486000,,,,4.03,,,,,,,,,,,,,,,,,,,,1.02,75.26,,,,,,38.58,,,,,,,
1554060309000,,,,,,,,,,,,,,,,,,,,,,,,1.20,50.43,,,,,,10.63,,,,,,,23.47
1554127394000,,,,62.35,,,,32.80,,,,,,,,,,,,,,,,1.23,166.22,,,,,,37.72,,,,,,,
1554195576000,,,,29.24,,,,,,,,,,,,,,,0.02,,,,,1.99,139.87,,,,,,69.15,,,,,,,
