timestamp,​0x47e885B665b6dAb8B41345F0bd6a151F8896Fee8,​0xB508b2B0BaAe04A395d861Ac6d87DB0d1FEB0Ffb,​0x09cabEC1eAd1c0Ba254B09efb3EE13841712bE14,​0xa14596056E37C7bf190947FA17670F371243067B,​0xB032ec905759B464A75EBbD41703CCcebAE77934,​0x2E48479cDDEF205B2df644d397358c45105969f6,​0x8e87CB675E0f1F5BA60E06446fAa3CFe4816b9E5,​0x000000001e29fcd9B1469a7954DC65ff254FFfC0,​0x006004fFA18E3cf78fA3b50393ec44C1ab89cF6c,​0xB53b0255895c4F9E3a185E484e5B674bCCfbc076,Other
1553654855000,,0.03,0.01,,,,,,,,
1553721327000,,0.10,,,,,,,,,
1553789263000,,,,,0.08,,0.01,,,,
1554398543000,,0.16,,,,,,,,,
1554867921000,,0.10,,,,,,,,,
1555002718000,,,,,,,,,,,0.00
1555070200000,,0.10,,,,,,,,,
1555136518000,,0.19,,,,,,,,,
1555539993000,,,,,,0.05,,,,,
1557358549000,0.05,,,,,,,,,,
1557426851000,,,,0.10,,,,,,,0.00
1557763956000,,,,,,,,0.01,,,
1558776750000,,,,,,,,,,,0.00
1559045953000,,,,,,,,,,,0.00
1559788436000,,,,,,,,,0.68,,
1560329676000,,0.55,,,,,,,,,
1560464402000,,0.22,,,,,,,,,
1560870679000,,0.04,,,,,,,,,
1560937524000,,,,0.05,,,,,,,
1561679479000,,,,,,,,,,0.09,
1562285611000,,,,,,,,,,,0.00
1562957966000,,,,,,0.07,,,0.28,,
1563226501000,,,,,,0.15,,,,,
1565173880000,,,,,,,,,0.15,,
1565241308000,,,,,,,,,0.35,,0.00
1579320115000,,,,,,,,,,,0.00
