timestamp,​0xC9c01bc57186A5f0981c4e6F4884BeaEB562E532,​0x975d498E6Be6F5e35208A1f64D96C1Ac215c8a42,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x41B96e9c6758D12A7a1f67952466b2E104532604,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0x97deC872013f6B5fB443861090ad931542878126,​0xf4E6B6152A5137DaA5cDa324F3c2599bFd48F5Fb,​0xe44f194f771BA29F562bd9DFC3d41953be195e03,​0xfe32A37F15ee4a4b59715530E5817D1322B9df80,​0x0c31b6605686aa26df47eb45AF0e4aa6639A5fd6,​0x280BF69d522BbCFb3aEb138C59D85A16e449057c,​0x1297Ad486549A430d59D9d5f99eD7C216b6e77DD,Other
1588906152000,,,,,0.00,,,,,,,,
1588972800000,,,,,1.82,0.33,,,,0.24,0.43,,
1589040204000,,0.53,,,0.95,,0.19,,,,0.20,,
1589107927000,0.43,,,,11.55,0.31,2.52,0.19,,1.01,3.45,1.17,
1589174391000,,,0.71,,3.79,0.23,0.46,,,,2.50,0.97,
1589241093000,,,0.78,0.59,3.45,0.03,5.31,,,,2.57,,0.01
1589308656000,,,0.05,,1.24,,1.01,,,,0.50,,
1589375621000,,0.30,0.38,,1.39,0.60,0.96,,0.77,,,,
1589442351000,,0.21,0.02,,0.68,0.08,,,0.36,,,,
