timestamp,​0x3b4e3d54B09322B455fE0266b3e8C77f0968C3F2,​0xb63bb45B2eF614ce087dc01C98013d87Fd757896,​0x56FBCED35085a1E318161039bb8D05De8711fF7C,​0xF69a175C2C07C4367c2311e4A5684c282123Ad53,​0x7E1fc55d416676998043B4b766968fB0Ec8c7550,​0x2870fa7c3C615f324151a88B10f0e1455Ee292D8,Other
1580711822000,,0.03,,,,,
1580844182000,,,0.10,,,,
1581574720000,,,0.03,,,0.27,0.00
1581707956000,0.08,,,,,,
1581774043000,,,,,0.11,,
1582240159000,,,,0.14,,,
1582306851000,,,,0.11,,,
