timestamp,​0x65Bf9D2a1B9D46FDED78a567Bb21F321Cf280B08,​0x4084a2A8440f821c7dcf1b6Ed658c5C15e1bDd0e,​0x859b1fDF23485f03eE54D3F942D5D05e1A6e9676,​0x1863f1f98d676d30df594ad55996C497d53f4ab3,Other
1580645575000,,0.03,,,
1581110121000,,0.01,,,
1581574720000,,,,,0.00
1583302077000,,0.07,,,
1583435384000,,0.07,,,
1583699841000,,0.27,,,
1584100621000,,0.30,,,
1584632903000,,0.08,,,
1584699859000,,0.21,,0.09,
1585173391000,,0.06,0.03,,
1585306138000,0.04,,,,
1586701369000,,0.03,,,
