timestamp,​0xfDaaE0c5a7A56C8265b9f86cF8cd934A494E3733,​0xB64943f4F26D837cEEAc96CAE86d1bAB23A3414d,​0x9Ee1830ff376758c5Ecc7FB465f3b14d64116d71,​0x97402249515994Cc0D22092D3375033Ad0ea438A,​0x5bB502A5c21ee25FD8Eeb7B066a7EED734416d5e,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x4Cf774319FD3C320b6CfECC5260bf6c5c3F5d5b2,​0x1c4b97f5B142b72FAAcb4B496223eb33C361dda9,​0xd5B3988eD0AB5ec375E51bB6fd10e205cEC16A2E,​0x1C0Aa8cCD568d90d61659F060D1bFb1e6f855A20,​0xeC5F9994ebE1bDEAa009Cb0a3e984c5C55bf3fDD,​0xBe10EAA921719C3ab6300479E16E08f32354E90a,​0x23dB246031fd6F4e81B0814E9C1DC0901a18Da2D,​0x4316e3aD83ca2Cf0ea5e3b25e3DE2fA7F93cfE9c,Other
1574102523000,,,,,,,,,,,,0.01,,,
1574829912000,,,0.23,,,,,,,,,,,,
1579055596000,0.19,,,,,,,,,,,,,,
1579122050000,,,,,,,0.20,,,,,,,,
1579188604000,,,,,,,,,,,0.10,,,,
1579320115000,,,,,,,,,,,,,,,0.00
1579584998000,,,,,,,,0.19,,,,,,,
1579783170000,,,,,,,,,0.18,,,,,,
1579848954000,,,,,,,,,,,,,0.18,,
1581375300000,,,,,,,0.15,,,,,,,,
1581574720000,,,,,,,,,,,,,,,0.00
1581841298000,,0.15,,0.05,,,,,,,,,0.47,,
1581907086000,,,,0.05,0.31,,,,,,,,,,
1582372667000,,,,,,,,,0.12,,,,,,
1583767163000,,,,,,,,,,,,,,0.06,
1584766483000,,,,,,,,,0.29,0.06,,,,,
1584970249000,,,,,,0.35,,,,,,,,,
