timestamp,​0x006004fFA18E3cf78fA3b50393ec44C1ab89cF6c,​0x3b97Fb93Fd2B6E06E5E26f6d2A5AB36b7F4ACfC7,​0x2A16a37f09A0d59094820364AfCC3FaB63c83105,​0x459AF0b9933eaB4921555a44d3692CaD964408c5,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,​0xE1970F21B319b7bC493Cb93a51aDc17cdf6Ad98E,​0x1200563cFAEb481e1f0542A246F0cefcdE4C4753,​0x02B4bc881c663E9109915A97bE13a939598b1614,​0xe31db01783DC750791fC0B9b59D6b54ADeAFf954,​0x48beC30cB6167377F34Deb8eDEF2e14D10Db0BA7,​0x2870fa7c3C615f324151a88B10f0e1455Ee292D8,​0x177A56bb19024737C945eb040902fe2124c63fc2,​0xFE125920878ABA07539D80C046716448Cf42Bdb6,​0x4CD8C6579637eFaAc39Ed51D17EF5c8e94CB317e,​0x5437E2Cf87378f7134E5fBbE6c1B9B6F4A9DcA9c,Other
1555136518000,,,,,,,,,,,,,,,,0.00
1572684939000,,,,,0.00,,,,,,,,,,,
1580579921000,,,,,,,0.02,,,,,,,0.02,,
1580645575000,,,,,,,,,,,,0.00,,,,
1580977343000,,,,,0.02,,,,,0.02,,,,,,
1581043789000,,,,,,,,,,,,,,0.00,,0.00
1581110121000,,,0.00,,,,,0.01,,,0.19,,,0.00,,
1581177428000,,,,,,,,0.01,,,,,,,,
1581243665000,,,,,,,,,,,,0.06,,,,
1581310184000,,,,0.01,,,,,,,,,,,,
1581441429000,,,,,,0.10,,,,,,,,,,
1581508790000,,,,,,,,,,,,,,,,0.00
1581641265000,,,,,,,,,,,0.14,,,,,
1581841298000,,,,,,,,,,,,0.09,,,,
1582040665000,,,,,,0.06,,,,,,,,,,
1582173039000,0.10,,,,,,,,,,,,,,,
1582705647000,,,0.05,,,,,,,,,,,,,
1583767163000,,,,,,,,,0.02,,,,,,,
1584902413000,,,,,,,,,,,0.04,,,,,
1587568237000,,,,,,,,,,,0.07,,,,,
1587969951000,,,,,,,,,,,0.09,,,,,
1588170340000,,,,,,,,,,,0.12,,,,0.11,
1588506516000,,0.11,,,,,,,,,,,0.01,,,
