timestamp,​0x95328D98630779834f3e46f78F900042bC2bDD15,​0xc70d758BBC91988A678B187C30Dd4869277Efbac,​0x5048b9d01097498Fd72F3F14bC9Bc74A5aAc8fA7,​0x97deC872013f6B5fB443861090ad931542878126,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,​0x5FfB004C2a93D6E46C09f75d1565350F92f65C89,​0xF37e7812A5Fbf4830b6Ff0737A84f49FfEC5a9EC,​0xd14b520b9559779cE7B68942eE9d70C198c77536,​0x3958B4eC427F8fa24eB60F42821760e88d485f7F,​0x72B0bC97E2B7dFa0F9d376dA9fb392D871011313,​0x2870fa7c3C615f324151a88B10f0e1455Ee292D8,​0x2c9Bd9Db61eCCF16eD766b598bC5e0706c992296,​0x736f1536CFd66AE3E27F6d62c67a9D9d9A431326,​0x630C2d090aed8C4791a1D4f5Ef7fb51468049Dce,​0x945c965123968E6FBdcb0a344649BEA3fA02970f,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,Other
1566851133000,,,,,,,,,,,,,,,,,0.00
1567321929000,,,,,,,,,,,,,,,,,0.00
1570764407000,,,,,0.01,,,,,,,0.01,,,,0.00,
1575136068000,,,,,0.00,,,,,,,,,,,,
1581110121000,,,,,,,,,,,0.13,,,,,,
1581177428000,,,,,,,,,,,,,0.15,,,,
1581310184000,,,,,,,,,,,,,0.15,,,,
1581441429000,,,,,,0.24,,,,,,,,,,,
1581508790000,,,,,0.22,,,,,,,,,,,,0.00
1581574720000,,,,,,,,,0.14,,,,,,,,
1581641265000,,,,,,0.17,0.05,,,,,,,,,,
1581707956000,,,0.04,,,,,,,,,,,,0.04,,
1581774043000,,,,,,,,0.14,,,,,,,,,
1581841298000,,,,,,0.17,,,,,,,,,,,
1581973926000,,,,,,0.19,,,,,,,,,,,
1582040665000,,0.05,,,,,,,,,,,,,,,
1582106715000,,,,,,,,,,0.12,,,,,,,
1582705647000,,,,,,,,,,,,,,,,0.01,
1583036689000,,,,0.13,,,,,,,,,,,,,
1583168974000,,,,,,,,,,0.12,,,,,,,
1583567810000,,,,,,,,,,,,,,0.03,,,
1583966404000,0.08,,,,,,,,,,,,,,,,
1584766483000,0.08,,,,,,,,,,,,,,,,
1584970249000,,,,,,,,,,,0.07,,,,,,
