timestamp,​0xA00c99F5f955552742F1089deD88ABDC74E67Bac,​0x97deC872013f6B5fB443861090ad931542878126,​0x076C95c6cd2eb823aCC6347FdF5B3dd9b83511E4,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0x9709a9f77d4349e1DA4220f1458fBe9339d612E3,​0x9a8bDBE5Bb0b63312e5AF863aA66dcbC9D7EC4FD,Other
1603462512000,,0.37,0.06,8.26,,,
1603528247000,1.00,,,0.77,,,
1603594450000,,,,2.47,,,
1603661160000,,,,0.80,,,
1603728251000,,,,0.04,,,
1603793902000,,,,0.35,,,
1603925650000,,,,0.06,,,
1604059142000,0.58,,,0.24,,,
1604125251000,,,,0.64,,,
1604191395000,,,,0.12,,,
1604257692000,,,,0.13,,,
1604324653000,,,,0.17,,,
1604390633000,,0.44,,0.26,,,
1604457123000,,,,0.71,,,
1604523521000,,,,0.38,,,
1604589935000,,0.32,,1.46,,,
1604655075000,,0.20,,2.32,0.10,,
1604721624000,,2.17,,8.25,0.22,0.10,
1604788406000,,0.67,,0.60,,,
