timestamp,​0x8799f944172c276cD53896Ae7c2C0b9aC8769c28,​0xB958a8f59AC6145851729F73c7A6968311d8B633,​0x263FC4d9Eb6da1ED296ea6d189b41e546a188D8A,​0xDd62559E0466A8f232fb7d207E8Da32a55caB85C,​0x748b6DF4b8e7e91FE432A06b321b5A5E2a6010b5,​0xa1C78ED146a8693A8cF3d29385BC54Cd3F145B4a,​0xc4a1C45D5546029Fd57128483aE65b56124BFA6A,​0x1B5A094c2bDE894eae65Fc4f7613139EDF7D92e4,​0xA1bD817e13ED6Bb524ED491cff76C83aFEC773Ac,​0xeb6eB4D556fADA7D0380E0171203E229c13756Ef,​0x26Cc0EAb6Cb650B0Db4D0d0dA8cB5BF69F4ad692,​0x9C288E7F4dbd99E5753c4Fb4c24CAd3D73828EcB,​0xb8113eE1C4Dc7b63D04b5543D984b5dbdA25518e,​0x5CEbD7B8962d6Da0c95670c1f5a6Ebffd01E12FF,​0x73e60cD967E957bC6e074F93320FfA1d52697D5b,​0x9B11FF1664FA041bf4f1FCf3Fe453A7E61ea47fb,​0x7984798D2Fa203dA09FC1E4679D6a07C18a8974C,​0x693c188E40F760ecF00d2946ef45260b84FBc43e,​0x42c029e3536A8b83b0a5C1b3c2d611e1C03320Cc,​0x014Ab3DFDAEf50815372cC7D98d59f3eaCc33bB0,​0xF6FB09a41fa6C18cEbC1e7C6F75A8664D69e4d48,​0x82aa7f697B9Bc19F286D286D130405c0850A2E7B,​0xF256222EB43fdB2CFAD1f8Be72575F6b01Dae295,Other
1558641898000,,,,,0.50,,,,,,,,,,,,,,,,,,,
1559855826000,,,,,,,,0.61,,,,,,,,,,,,,,,,
1560329676000,,,,,,,,,0.04,,,,,,,,,,,,,,,
1561005597000,,,,,,0.19,,,,,,,,,,,,,,,,,,
1561747149000,,,,,,0.10,,,,,,,,,,,,,,,,,,
1562082973000,,0.36,,,,,,,,,,,,0.90,,,,,,,,,,
1562285611000,,,,,,,,,,,,,,,0.23,,,,,,,,,
1565241308000,,,,,,0.10,,,,,,,,,,,,,,,,,,
1568669970000,,,,0.20,,,,,,,,,,,,,,,,,,,,
1569412741000,,,,,,,,,,,,,,,,,,,,,,0.23,,
1575596839000,,,,,,,,,,,,,,,,0.16,,,,,,,,
1576886273000,,,,,,,,,,,,,,,,,,,,,,,,0.00
1577402327000,,,,,,,,,,,,0.23,,,,,,,,,,,,
1579320115000,,,,,,,,,,,,,,,,,0.06,,,,,,,0.00
1580778615000,,,,,,,,,,,,0.13,,,,,,,,,,,,
1580844182000,,,0.03,,,,,,,,,,,,,,,,,,,,,
1581375300000,,,0.01,,,,,,,,,,,,,,,,,,,,,
1581508790000,,,,,,,,,,,,,,,,,,,,,,,,0.00
1582638796000,0.20,,,,,,,,,,,,,,,,,,,0.10,,,,
1587300847000,,,,,,,,,,,,,,,,,,,,,,,,0.01
1588438821000,,,,,,,,,,,,,,,,,,,,,,,,0.00
1588705743000,,,,,,,,,,0.12,,,,,,,,,,,,,,
1588771981000,,,,,,,,,,,,,,,,,,,,,,,,0.00
1589107927000,,,,,,,,,,0.15,,,,,,,,,,,,,,
1591457899000,,,,,,,,,,,,,,,,,,,,,,,,0.00
1592794125000,,,,,,0.17,,,,,,,,,,,,0.12,,,,,0.12,
1594935634000,,,,,,,0.05,,,,,,,,,,,,,,,,,
1595202619000,,,,,,,,,,,,,,,,,,0.08,,,,,,
1595338300000,,,,,,,,,,,,,,,,,,0.08,,,,,,
1595537940000,,,,,,,,,,,,,0.07,,,,,,,,,,,
1595604570000,,,,,,,,,,,0.18,,,,,,,,,,,,,
1595805432000,,,,,,,,,,,,,,,,,,0.08,,,,,,
1596006108000,,,,,,,,,,,,,,,,,,,,,0.10,,,
1596273444000,,,,,,,,,,,,0.09,,,,,,,,,,,,
1597805915000,,,,,,,,,,,,,,,,,,0.26,0.50,,,,,
1598071853000,,,,,,,,,,,,,,,,,,0.20,,,,,,
1598271030000,,,,,,,,,,,,,,,,,,0.19,,,,,,
