timestamp,​0xFC5DE15d1C5b69431E78f4f25B49C79Cd4276E3b,​0x73e9aeeEf2d4455324661009ed2561489986be4e,​0xf52Ce64c3A4adF5Bce106c55C2397afD0dcfA93E,​0x607C59b87394f8503D040A0d4997A7484EB47b51,​0xad7e66055433681A50b042bD0E67AA69Dbf0652c,​0x691B1D61718DdB5C83D5E0471692836743205aD4,Other
1589308656000,,,,,,0.27,
1589375621000,0.63,,0.02,,0.36,,0.00
1589442351000,,0.20,,0.16,,,
