timestamp,​0x2870fa7c3C615f324151a88B10f0e1455Ee292D8,​0x68FBabD02724d8164b3625bc3e6F9A45A5252969,​0x9096410692868EA33F77Ff1Ca3Ae3d9948FAf82C,​0x5D93f3c0e6134cDb10c2eb46ABC82353637C9983,​0x51F357b4D1B6c99F68e34aA03D700ccefa6A9f2e,​0x21af0A9117ee420CB26c32a49c59220F38F5991b,​0xD5Dfe862Ded2EcFa1E7831476F9DD7d4080bdfB5,​0x1e70F83c7fA47A92383000ba7408bfCC559d1adC,​0x1CA1480269bF3D8f11fAb4753772e81F6c26FE51,​0x6076DC93F53E429aadcE69A4373C6EFC1f843f71,Other
1567658685000,0.10,,,,,,,,,,
1568266003000,0.07,,,,,,,,,,
1571036079000,0.08,,,,,,,,,,
1572476793000,0.06,,,,,,,,,,
1579122050000,0.53,,,,,,,,,,
1581110121000,,,,0.06,,,,,,,
1581707956000,,,0.19,,,,,,,,
1582106715000,0.26,,,,,,,,,,
1582240159000,,0.03,,,,,,,,,
1583235956000,,,,,,,0.05,,,,
1585105600000,,,,,,,,,,1.00,
1587768625000,0.60,,,,,,,,,,
1596207016000,,,,,,0.04,,,,,
1600852525000,,,,,0.17,,,,,,
1602133843000,,,,,,,,,0.10,,
1602403481000,,,,,,,,0.02,,,
