timestamp,​0xc095976BD18181f28626c5D48372DebD7a8Ce8d4,​0x85C5c26DC2aF5546341Fc1988B9d178148b4838B,​0xb8a6cfd3D30595069271DD20147b117266c5Ab0d,​0x08Af9a16826A98449306b38685E80462D3793FdB,​0x1DbCaf559A12b7A064F90F215D61f8D254c08FDF,​0xB958a8f59AC6145851729F73c7A6968311d8B633,​0x1200563cFAEb481e1f0542A246F0cefcdE4C4753,​0xE948B17d1971ED7f5F3534FbCE993CD6Cfc468fc,​0x00000000Af5A61acAf76190794E3fdf1289288A1,​0x86485e742eF15B681B259D7c69c292D476F0b659,​0xDC1637667C28115010d8fB6194Eb6536550363B9,​0xB944d13b2f4047fc7bd3F7013bcf01b115fb260d,​0xf1Ee7E615fa35F349B822989f43DD6101a1eEf7C,​0xD5Dfe862Ded2EcFa1E7831476F9DD7d4080bdfB5,​0xB8f66E543cd30009B4Eee19AF0342e123fE25b35,​0x4ecfEB04C799ddF76DBA74343F9107c4ED3225D2,​0x365bc89C2C0a45262D6c7dc0650a0E8F53B20642,​0x34f692957E4700b3E4b02399cF9711f2AD779335,​0xc36F605A8c6347a40A2457e6d25adaD308052086,​0xaA5a27f5e1E3f3cdDf5828E1E2C64dD4aA6aB9d8,​0x93dE8Ee16aEC99809F52A9948fEf9e3a1d1Ce10A,​0x6BCb8c38dDE3D2f0254a453caEE78270b2dF5994,​0x25BA6bADee1Ba37DF41D2CD23B45649Ee7Bb9C93,​0x7B6602fF6d70A635F58250d73791974851CE5110,​0x21eecadda922Eeb5e277f2FD4239052FC3158395,​0x241Ab32b2A560d87E1579Bf2A5D2eE846d5015C1,​0x85dC144a71d5D194741353C41A4e90eFB9A9D76f,​0xE200084496Ad62dc3040b23e0d9eF69bdDF377d6,​0xd9B9abaBA9Ad4b14930E4b86D7Dd3851C2F2E32e,​0xb67F7eE5C8E27FD5DDb91F573885150AA819Ad43,​0x0827aCe395D28Feec55C6acEe12e09509C11Df03,​0x2E642b8D59B45a1D8c5aEf716A84FF44ea665914,​0x0000000000C90bc353314b6911180ED7E06019A9,​0x12940465b995A25BEB14Ed280aeb9b428daA16a8,​0x75d53cb09611683D6C38CbA7e6C009a318A7ca27,​0xB84AA41F1a3531aa840e1DF583fC267d6547EDbb,​0xF173214C720f58E03e194085B1DB28B50aCDeeaD,​0xF7B5A4b934658025390ff69dB302BC7F2AC4a542,​0x3938A297E17DCC46B336e992F39720DaE1ABc99E,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,​0x1Db39024bF4a4aC614B4f864afb75a1B2B1605d8,Other
1575136068000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,0.11,,0.08
1575288653000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.21,,,,,,,0.02,,
1575442393000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1575596839000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1575826602000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.16,,,,,,,0.02,,0.00
1575979374000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,0.06
1576056123000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,0.17,,
1576132843000,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,
1576208669000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,
1576288118000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,0.00,,0.06,,0.00
1576372313000,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,0.20,,0.03
1576456679000,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,0.03,,
1576541361000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1576886273000,,0.20,,,,,0.24,,,,,,,0.01,,,,,,,,,,,,0.10,,,,,,,,,,,,,,0.06,,0.08
1576971438000,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,0.40,,,,,,,,0.57,,0.04
1577057861000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,,,,,0.14,,0.04
1577143907000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,0.04,,
1577229621000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1577315631000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,0.10,,
1577402327000,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.01,,
1577488582000,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,0.07
1577573599000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1577659927000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,0.04
1577918935000,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,0.00
1577997589000,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,0.00
1578063677000,,,,,,,,,,0.01,,,,0.01,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.02,,0.03
1578129566000,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,0.01
1578195701000,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.03,,0.03
1578261907000,,,0.11,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,0.01
1578327837000,,,,,,,,,,,,,,0.01,,,,,,0.14,,,,,,,,,,,,,,,,,,,,0.12,,
1578393679000,,0.11,,,0.10,,0.30,,,,,,,,,,0.21,,,,,0.21,,,,,,,,,,,,,,,,,,0.22,,
1578459841000,,0.10,,,,,,,0.27,,,,,0.01,,,,,,,,0.77,,,,,,,,,,,,,,,,,,0.41,,
1578526345000,,0.15,,,,,0.22,,,,,,0.15,,,,,,,,,,,,,,,,,0.21,,,,,,,,,,,,
1578592894000,,,,,,,,,,,,,,,,,,,,0.13,,,0.08,,,,,,,,,,,,,,,,,0.20,,
1578658814000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.01
1578724741000,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,,0.08,,
1578790822000,,,,,,,,,,0.01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.01
1578923015000,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,
1578989540000,,,,,,,,,,,,,,0.07,,,,,,,,,,,,0.01,,,,,,,,,,,,,,0.10,,
1579055596000,,,,,,,0.01,,,,,,,0.01,,,,,,,,,0.05,,,,,,,,,,,,,,,,,0.04,,
1579122050000,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,0.02,,
1579188604000,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,
1579254375000,,,,,,,,,,,,,,,,,,,,,,0.03,,,0.16,,,,,,,,,,,,,,,0.20,,
1579320115000,,0.28,,,,,0.56,,,,,,,0.08,,,,,1.01,0.11,,,,,0.23,,,,,,0.12,,,,,,0.33,0.02,,1.34,,0.00
1579386588000,,0.37,,,,,0.94,,,,,,,0.12,,,,,2.72,,,,,,2.92,,,0.26,,,0.20,,,,,,,0.01,1.96,7.03,,
1579453251000,,0.18,,,,,0.17,,,,,,,,,,,,1.06,,,,,,,,,,,,,,,,,,,0.02,,0.77,0.02,0.04
1579518909000,,0.25,,,,,0.07,,,,,,,,,,,,0.99,,,,,,2.67,,,,,,,,,,,,,,,3.35,,
1579584998000,,0.05,,,,,0.08,,,,,,,,,,,,3.29,,,,,,,,,,,,,,,,,,,0.01,,3.19,,0.02
1579650516000,,0.05,,,,,0.02,,,,,,,,0.13,,,,0.30,,,,,,,,,0.11,,,,,,0.14,,,,,,0.61,,0.01
1579717286000,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,
1579783170000,,,,,,,0.03,,,,,,,0.03,,,,,,,,,,,,,,0.06,,,,,,,,,,,,0.05,,
1579848954000,,0.05,,,,,0.02,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,0.00
1579915579000,,,,,,,,,,,,,,0.03,,,,,,,,,,,0.03,,,0.05,,,,,,,,,,,,0.05,,
1579982233000,,,,,,,,,,,,,,0.01,,,,,,,,,,,,0.02,,,,,,,,,,,,,0.09,0.11,,
1580049245000,,0.05,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,0.24,0.23,,0.03
1580114658000,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,0.01,,,0.09,0.17,0.12,
1580180893000,,,,,,,,,,,,,,0.02,,0.10,,,,,,,,,,,,,,,,,,,,,,,,0.11,,
1580247630000,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,0.27,0.11,,,,,,,,,,,0.03,0.49,0.11,
1580313366000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,0.03,,0.01
1580380051000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,,,,,,,,,,,,,0.39,0.14,0.01
1580446477000,,0.05,,,,,,,,,,0.43,,0.02,,,,,0.09,,,,,,,,0.15,,,,,,,,,,,,,0.58,0.03,
1580512997000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1580579921000,,,,,,,,,,,,0.06,,,,,,,0.03,,,,,,,,0.24,,,,,,,,,,,,,0.32,,0.01
1580645575000,,,,,,,,,,,,,,0.06,,,,0.10,,,,,,,,,1.37,,,,,,,,,,,,,1.52,,0.01
1580711822000,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.04,,
1580778615000,,,,,,,,,,,,,,,,,,,,,,,,,,,1.56,,,,,,,,,,,,,10.61,,0.06
1580844182000,,,,,,,,,,,,,,,,,,,,,0.95,,,,,,,,,,,,,,,,,,,0.22,,0.02
