timestamp,​0x00000000016697Fa9A9C8e2889E28D3D9816A078,​0xA54da2581dd4828e4Aa00638Aab835119500A284,​0x785CfC135cd5E26f55a791D177C3cbDFB16F9fEA,​0x580EC301c868968A051766880BA02dCfDb8Ec8a6,​0x96FE94c07Ee88fC2A4B3E978D875202fD113e654,​0xce5702E94aD38C061e44a4a049Cc29261F992846,​0xeE7F212545b3c388f8fD176f83bDff85F3Dcea7D,​0x859b1fDF23485f03eE54D3F942D5D05e1A6e9676,​0x778FDaf34BB5993D69968f541152451241Fab7e3,​0x409B512e1cf94500877C5353B2a0C13B2d24914F,​0x85C5c26DC2aF5546341Fc1988B9d178148b4838B,​0x107B8C8a12f24f6bfec6aB480B4C843291e1575e,​0x00000000Af5A61acAf76190794E3fdf1289288A1,​0x40ddBf3BdE9c33661C8B4a4E9045eE7Ade9E7102,​0x9BA6c9D09dB964771cB4D526188F6AF81e9bCF9e,​0xB958a8f59AC6145851729F73c7A6968311d8B633,​0xAfd9034Aba776D09C52b573c0b8bEcfd2b22FB5a,​0x00000000B1786c9698C160D78232c78d6f6474Fe,​0x5827696E05e587Ba62d2C0773AcE3426895E3155,​0xbcdCD3f4576440840a66076A8ECFeFA8123c8CB2,​0x022865cCce84fa9F715207D047D78a05313dC86D,​0x514fd3B8109CFB7CDe4b17e4912fd56690c23145,​0x5aB9d116a53EF41063E3EaE26A7eBe736720E9bA,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,​0x0000000000C90bc353314b6911180ED7E06019A9,​0x577D96754E7dBDDc5aa9787C139DB2e8026cf4aa,​0x202F6106F293AF455412Eb41c443d13adB6867A9,​0xF6FB09a41fa6C18cEbC1e7C6F75A8664D69e4d48,​0x860bd2dba9Cd475A61E6d1b45e16c365F6D78F66,​0x2870fa7c3C615f324151a88B10f0e1455Ee292D8,​0x6076DC93F53E429aadcE69A4373C6EFC1f843f71,​0xfc96e234d4B31C63051E707105fCC4aba37807Fa,​0x006004fFA18E3cf78fA3b50393ec44C1ab89cF6c,​0x0668C3BE26661f11d64a38aDDb4d2d8bEb5788F8,​0x1200563cFAEb481e1f0542A246F0cefcdE4C4753,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0x693c188E40F760ecF00d2946ef45260b84FBc43e,​0x8e5272Cec02272e232C4C8bDd1d64D3a4AA532e5,​0xea161aB775bE8374c9aed9E394D5b8711DcFc55f,​0x7b0bc7c2931a95f66B096fCA4D7a419302cA20E1,Other
1554733845000,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,0.98,,,0.36
1554800647000,,,,,,,,,,,,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1554867921000,,,,,,,,,,,0.40,0.30,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1554934968000,,,,,,,,,,,,0.10,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,
1555002718000,,,,,,,,,,,,0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1555070200000,,,,,,,,,,,,1.20,,3.84,,,,,,,,,,,,,,,,,,,,,,,,0.58,,,
1555136518000,,,,,,,,,,,,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1555270669000,,,,,,,,,,,,0.60,,,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,
1555337473000,,,,,,,,,,,,0.40,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,
1555405471000,,,,,,,,,,,0.50,,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,
1555472795000,,,,,,,,,,,,,,,,,,,,,,,,,1.28,,,,,,,,,,,,,,,,
1555539993000,,,,,,,,,,,0.85,0.40,,1.25,,,,,,,,,,,2.26,,,,,,,,,,,,,0.58,,,0.20
1555608237000,,,,,,,,,,,0.45,0.40,,,,,,,,,,,,,0.51,,,,,,,,,,,,,,,,
1555741612000,,,,,,,,,,,,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,1.09,,,
1555809867000,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1555876621000,,,,,,,,,0.51,,0.35,0.40,,,,,,,,,,,,,1.53,,,,,,,,,,,,,,,,
1555943613000,,,,,,,,,,,,,,,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,
1556011928000,,,,,,,,,0.53,,,,,,,,,,,,,,,,0.51,,,,,,,,,,,,,,,,
1556079702000,,,,,,,,,,,,0.40,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,
1556147660000,,,,,,,,,,,,0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1556281668000,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1556348416000,,,,,,,,,,,,,,,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,
1556415030000,,,,,,,,,0.51,,,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
