timestamp,​0x673796B6fBAe0B394BE1CC912333449a2859E26d,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,Other
1601053079000,0.35,3.25,
1601120014000,,0.32,
1601187908000,,0.71,
1601255204000,,0.85,
1601323528000,,0.04,
1601390741000,,1.65,
1601459154000,,2.11,
1601592730000,,6.03,
1601660827000,,9.08,
1601728631000,,0.61,
1601796104000,,0.29,
1601863935000,,1.60,
1601931072000,,0.13,
