timestamp,​0xa78ce1ABAd10f312A30faaDC91f3A5e072a4424D,​0x72B0bC97E2B7dFa0F9d376dA9fb392D871011313,​0x8eCc379C8d744142aFf3Ea80cAF53E3e57779EBd,​0x0Ac0A666ECE6C5EEE85B60A6c73A66d353680B74,​0x52ec181216b54f106709d450C25C86e2c38b1EAa,​0x59B96e98B97f3d1A7e59dF53cb0f05E650c4FFfA,Other
1579188604000,,,,,,0.00,
1580977343000,,,,,,0.00,
1581574720000,,,,,,,0.00
1581641265000,,0.28,,,,,
1584566455000,,0.14,,,,,
1587234387000,,,0.29,,,,
1589509055000,,,0.14,,,,
1589778055000,,,,0.06,,,
1590047677000,,,0.17,,,,
1590181994000,,,0.10,,,,
1591457899000,,,,,,,0.00
1591658478000,0.02,,,,,,
1592594022000,,,,,0.25,,
