timestamp,​0xF69a175C2C07C4367c2311e4A5684c282123Ad53,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,​0x693c188E40F760ecF00d2946ef45260b84FBc43e,​0x9FCfE63108f0957aAD1C6F2eD30270e8D35C6491,​0x409B512e1cf94500877C5353B2a0C13B2d24914F,Other
1561342449000,,,,,0.01,
1572754262000,,0.02,,,,
1576208669000,,0.01,,,,
1579386588000,,0.02,,,,
1580313366000,,0.02,,,,
1581508790000,,,,,,0.00
1582705647000,0.13,,,,,
1582837876000,,0.31,,,,
1583168974000,,,,0.05,,
1583699841000,,0.30,,,,
1584970249000,,0.19,,,,
1586368858000,,0.47,,,,
1586900049000,,,0.24,,,
1587099968000,,,0.07,,,
