timestamp,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0xC08Ae1FB80466E72BF7C103cC56DBa65BA3313A0,​0xEB83a2a183A03186e96b1C8bd7402B249F6319c4,Other
1582771019000,0.03,7.73,,
1584100621000,,1.58,,
1587836062000,,,0.01,
1587902337000,,,0.27,
1587969951000,,,0.46,
1588036978000,,,1.05,
1588104246000,,,0.78,
