timestamp,​0x17559a8138E72C6Ef34512b11685dedC509BaDcf,​0xe4A9E7A1C7E952Fc1a99B6B720fa45Aa66fde9aC,​0x85C5c26DC2aF5546341Fc1988B9d178148b4838B,​0x7A5D9a7f86147106bc9caf15A64Db5dEE850D28C,​0x8A47883B2C6412C0F599CF2d3a84d7d724370721,​0x56Bd39e87582661a440D7303E6Da614773CD9E94,​0x240DDB16c5E4257505B0b6a7820314e483Cd1715,​0x3195c3F94154364E897711e501e104f40D8e23fb,​0x693c188E40F760ecF00d2946ef45260b84FBc43e,​0x1521876cd8d7e96ca113EB8EEDae6Ed1316191fE,​0x01CB79FA313DE1600F8C5034546CD088E778f0d8,​0xc1758EEa027f8D92e6ddd13d17e19E592845188a,​0x749572A17718B4E8D6d25A5A8F169378E63b2E59,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0xE9464Fde8B6608DFa65d19d9226444A9F3B03268,​0xD726B24E5b60B01531Da4E2F7b990F7ae96DCf68,​0x87a14e3D1970F2184C2A726841Ef0BCa64eeB075,​0x157255F0459e61001efE576378bC0eDE59AFEb04,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,​0x20f7a68c098dC65C6687f8a16d019F6929a9757A,​0x928b648206005Ac519bB82BA9f6ddDAE6E277197,​0x56fd4daeEF43ACc717f021f9379BDf5432134FFF,​0x9fF75F4a5190EEa5C9db3983d12AE094E544042D,​0x9E48FF7BBee16E9195C4A925076baF75551A24b1,​0x8D3a7a7fa32DC424BA70C895023DC19f8c65ab42,​0xA9ffbF13aC3FD7f1E5E72670F9F6039BB0fb8Ede,​0x18C63Dea648E25447885f0F40F0d31c732Cc09c4,​0x8B5cC67c4dA77E95f7de8B98d47B6C666B0Cba4c,Other
1565241308000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1574248216000,,,,,,,,,,10.85,,,,3.01,,,,,,,,,,,,,,,
1574319702000,,,,,,,,,,2.51,,,,,,,,,,,,,,,,,,,
1574534614000,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,
1574753753000,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.11
1574829912000,,,,,,,,,,0.08,,,,,,,,,,,,,,0.08,,,,,0.00
1575059347000,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,
1575136068000,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,
1575366165000,,,,,,,,,,,,,,,,,,0.00,,,1.87,,,,,,,,
1575596839000,,,,0.18,,,,,,,,,,,,,,,,,,,,0.18,,,,,
1575673602000,,,,,,,,,,,,,,,,,5.24,,,,7.00,,,,,,,,
1575749392000,,,,,,,,,,,,,,0.10,,,1.99,,,,,,,,,,,,
1575826602000,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
1575903384000,,,,,,,,,,,,,,,,,0.01,,,,,,,0.04,,,,,
1575979374000,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,
1576132843000,,,,0.01,,,,,,,,,,,,,,,,,0.01,,,,,,,,
1576208669000,,,,,,,,,,21.39,,,,0.41,,,,,,,,,,,,,,,
1576541361000,,,,1.67,,,,,,,,,,,,,,,,,,,,0.00,,,,,
1576799699000,0.39,,,,,,,3.85,,27.33,,,,0.25,,,,,,,,,,,,,,,
1576886273000,0.04,,,,,,,0.09,,,,,,,,,,,,,,,,0.58,,,,,0.00
1577057861000,0.01,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,0.10
