timestamp,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0x97deC872013f6B5fB443861090ad931542878126,Other
1593732971000,,,,0.00
1593800162000,0.12,3.83,,
1593866326000,,1.85,,
1593933211000,,0.75,,
1594000010000,,3.50,,
1594067228000,,1.44,,
1594133831000,,0.21,,
1594199176000,,0.69,0.43,
1594334149000,,2.07,,
1594400599000,,0.95,,
