timestamp,​0xcaA7e4656f6A2B59f5f99c745F91AB26D1210DCe,​0x94C6BDFD78D7fe0A9D53F7876DF9c0C63B72f9aF,​0x7279532c307C140d5594142eeE1eFc6523c529ED,​0xFE69FB531698B534a2Bc895940C5d37876b04Db3,​0x08e47122F5bc6Cf8F661481FC001F2bfC082443F,​0xBcE236DfD4cA6FC29939d26C79b50DFf6F36e455,​0xbc615B4289c5DB7aefe8110B22f38EE84898F432,​0x442747E725D0e1D1FE46c3635F8E01253b6D1eC7,​0xBf527bc1Afe7ea6266698988851055ac123EA4Bf,​0xee3eA245BAD63fd8921F6896F6934dc1982F03A1,​0xe8D33722480712c945614048b4C4CbCd74C820a2,​0x6b3B17988aF204DC717867d7cd89d43e25B3610E,​0xbDA74Df20FE9d705c6B8BBEE4F262Aae0063442B,​0x98Ff454c5d8a367C5532C057c665410610d409Ec,​0xE4E917eA341EE728517d0f4c899de31d5B52EB1E,​0x2D5c570645F1D76526850994d10802C634A35969,​0x079092b9C6Ea2E24404764497Db916eFe864869c,​0x6fc91d8b950A1576bB6B9AA82D190fc3b6C2C046,​0xAB2c49e7f97eB87A73aEf90Fc6AA1b53e6A93730,​0xC7408D6355b5eB57E61C91843C7beB4Aa3f34c58,​0x1287E35a936CaEf32bfB76Fc481E1b56c4904431,​0x975C86B5d1f0c1A68B7088677eDBE53c1ef92C48,​0x96014FE59a91fF32FACB142970796da5DFceb50d,​0xceD6F3C4e59e99DE99cE69a9259e5D329f5A1a47,​0x01b23f8cc7FBF107b0F39AA0Ba7C17eBAFb5D618,​0x0019B9367B5A88882E82bDC3325551E3B8d50caA,​0x7841bCF3FDa05ceA4B71616Dd86Dec0adE9F698A,​0x29deda10A1810eCb602a9B3BD92f2231b608FC9A,​0xb7f78106935607d2003aC997894C8271173EBFeB,​0x9b2062E0F62c0a1c8b77A5197011E62Db28A9227,​0x2c5968EE5ce21aD7324c97014fcB99F87f7fEc6F,Other
1596807570000,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,0.01
1596874169000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,
1596940389000,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,
1597140607000,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,
1601053079000,,,2.33,0.20,0.38,0.60,0.40,0.56,,0.10,0.12,0.86,0.17,,,0.10,0.34,0.50,0.08,,,0.10,0.19,2.99,0.30,0.37,1.00,0.04,,,0.42,0.00
1601120014000,,,,0.10,,0.23,,,,,,,,0.10,,,,,0.07,,,,,,,0.06,0.22,,0.02,,,0.00
1601187908000,0.16,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601660827000,,,,,,,,,,,,,,,0.49,,,,,,,,,,,,,,,,,
1601796104000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,
1602065856000,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
1602270387000,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1602403481000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1602469107000,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1602601229000,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,0.02,,
1602667579000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,
1602732764000,,,,,,,,,,,,,,,,,,,,0.10,,,,,,,,,,,,
1603196826000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1603793902000,,,,,,,,,0.18,,,,,,,,,,,0.19,,,,,,,,,,,,
1603860005000,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,
1604125251000,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,
1604191395000,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,
