timestamp,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0x97deC872013f6B5fB443861090ad931542878126,Other
1607708371000,0.61,,
1607774843000,,0.21,
1607840923000,0.08,,
1607907786000,,0.10,
1607973990000,0.10,,
1608172715000,0.16,,
1608239436000,1.00,,
1608305426000,0.11,,
1608372164000,0.10,,
1608437899000,0.58,0.58,
1608504061000,0.20,,
1608636545000,0.46,,
1608702922000,0.48,,
1608835449000,0.47,,
1608902154000,0.09,,
1608968406000,1.23,,0.00
1609034138000,0.48,,
1609100774000,0.78,,
1609165810000,1.31,0.85,
1609232681000,2.19,,
1609300140000,0.39,,
1609365524000,0.05,,
1609431762000,0.04,,
1609498801000,0.79,,
1609563999000,0.33,0.51,
1609630001000,0.05,,
1609696530000,0.98,,
1609763514000,1.70,,
