timestamp,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0x076C95c6cd2eb823aCC6347FdF5B3dd9b83511E4,​0x97deC872013f6B5fB443861090ad931542878126,Other
1602270387000,2.10,5.77,0.13,
1602403481000,0.04,,,
1602469107000,0.02,,,
1602535471000,0.27,,,
1602601229000,0.67,,,
1602865569000,1.18,,,
1602998570000,0.21,,,
1603329593000,0.19,,,
1603594450000,0.48,,,
1603728251000,0.18,,,
1603793902000,0.01,,,
