timestamp,​0xBe3C44fDf43728c37Cc9ab5B524e3A3481501F1d,​0x11C111e741CEA4c0CDdBede7b157A07e8A8463BB,​0x999FA068E1c3BE67EF5402f56EA9cfe1ca24295C,​0xB569Eab54511543F05117CA9331f5447294f7E7F,Other
1584033400000,,0.03,,,
1584699859000,0.09,0.02,,,
1584902413000,,,,0.26,
1585306138000,0.01,,,,
1586236183000,,0.01,,,
1586900049000,0.09,,1.39,,
1588237076000,,,,0.04,
