timestamp,​0xBf527bc1Afe7ea6266698988851055ac123EA4Bf,​0x4B935A52a887BF017B4e5e0151B71F518d0810a8,​0xFb219617Fd741a1df5292225Aad7269223e2f7b7,​0x6648EFfA532F0Fe6972286273193fD049C1b1738,​0x4F7E7a477BBf49cE4D0dB75Fe3Bae354C1b35D75,​0x01b23f8cc7FBF107b0F39AA0Ba7C17eBAFb5D618,​0xB0c6b8C41C6d969e9E9f9feA486629C4a8E113C8,​0x087Cd25A3D58a8Cc316303fabac1F89b079C20a8,Other
1599330041000,,,,,,,,0.01,
1601053079000,0.23,,,,,0.30,0.18,,
1601187908000,,,,0.20,,,0.23,,
1601255204000,,,,,,0.29,,,
1601323528000,,,,,0.05,,,,
1601931072000,,,0.11,0.18,,,,,
1603793902000,,0.40,,,,,,,
