timestamp,​0xc7Ae9c694EA779a85AB9b32cadB6370a38377FAb,​0xA54da2581dd4828e4Aa00638Aab835119500A284,​0x9697E724610505474936ec1382Edceb5AA52F295,​0x00000f2D00b7a76100366C0013C2000595eE0067,​0x0000000000C90bc353314b6911180ED7E06019A9,​0x5B55e6aEd153C7F8388E1a20F0532f69D6F4E604,​0x453993B4BD10E49cE0987E415Acd5d7Cf3B7777e,​0x2174a92437219dff0cd2d69181Fd8076Ed5f1FFf,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,​0xc8Ce23aEb52b7A031d0591719A1DD4B0d9868984,​0xea161aB775bE8374c9aed9E394D5b8711DcFc55f,​0x14784baf252905709F8d7c72581Cd9B3EFF4E0FD,​0x622961e7F76b5E573df44AFdeB712749BbeE398D,​0xFa136a7EDd41A258BB82583f497E10E0B053A619,​0x00000000016697Fa9A9C8e2889E28D3D9816A078,​0x8e5272Cec02272e232C4C8bDd1d64D3a4AA532e5,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0x000000001e29fcd9B1469a7954DC65ff254FFfC0,​0x693c188E40F760ecF00d2946ef45260b84FBc43e,​0x9A5920beAbeb675be7c5b9CeDaD1c38285b0a2D9,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x8198DbB5430a27D764250a2aa4aA7451b4673733,​0x85C5c26DC2aF5546341Fc1988B9d178148b4838B,​0x34C6F95476700e4dfCdaf28b56b99bc1E24e25F7,​0x409B512e1cf94500877C5353B2a0C13B2d24914F,Other
1550633598000,,,,,,,,,,,,,,,,,,,,,,,0.80,,,
1554532618000,,,,,,,,,,,,,,,,0.95,,,,,,,0.96,,,
1555405471000,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1555472795000,,,,,,,,,,,,,,,,,,,,,,,0.05,,,0.01
1556147660000,,,,,,,,,,,,,,,,,,,,,,,0.05,,,0.00
1556549842000,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1556953014000,,,,,,,,,,,,,,,,0.23,,0.16,,,,,0.05,,,
1557019302000,,,,,,,,,,,,,,,,,,,,,,,0.05,,,
1557087154000,,,,,,,,,,,,,,,,,,,,,,,0.05,,,
1557358549000,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1557561044000,,,,,0.50,,,,,,,,,,,,,,,0.37,,,0.15,,,
1557763956000,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1558099488000,,,,,,,,,,,,,,,,,,,,,,,0.05,,,
1558506088000,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1559653274000,,,,,,,,,,,,,,,0.02,,,,,,,,,,,
1560329676000,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.01
1560531936000,,,,,,,,,,,,,,,0.02,,,,,,,,,,,
1561073016000,,,,,,,,,,,,,,,,,,,,,,,,,0.02,
1561208281000,,,,,,,,,,,,,,,,,,,,,,,,,0.02,
1561611356000,,,,,,,,,,,,,,,,,,,,,,,,,0.02,
1561747149000,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
