timestamp,​0x247241F1d7477b9dE10e95F12e8b7850C48485CA,​0xdcac52d77d01A74FEB30D42cd1345d7990df997B,​0x8C0BEfDCac1475d84350AD42121726d735D980ab,​0xf76ACd9f8903595479F0D60bbD0Da88Fd17f6792,​0xdd03671532FA787775ff85b8443e5A23B27BEae6,​0xd7DB6aa2fDC65882e216a83646DE7262bF615977,​0x67FDb6189b65bB2379E385e715623F1c4c57c984,​0x478f25e0856AA133F7F9f68F1DAb2505b6EF9Bd1,​0x509a78DC03416EbAD24563fcA89A234E264Cb11C,​0x392027fDc620d397cA27F0c1C3dCB592F27A4dc3,​0xC981d85Be589d4d7c6a9b5271bE86fa9e959B138,​0xC080B284028e37E3B26D85F2c53AD51904471d7A,​0x71429f772E93C02dadEF75874CB684C04b695BE5,​0xa62ba163e57219fa1e67ec21cC101B5E5167D111,​0x22F9dCF4647084d6C31b2765F6910cd85C178C18,​0x97deC872013f6B5fB443861090ad931542878126,​0xE7B0957C52853B13423572B60618111dEB09f3b2,​0x5048b9d01097498Fd72F3F14bC9Bc74A5aAc8fA7,​0xc8829fCbff9E21114ea121e935DFF62bD4EE59C1,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0xEde323728E11c8451B7C27947de0404551bed4E3,​0x7eb66302514947bc6C10B5dFc77587259dbfb487,​0x4C7Aa459D130C1DBF1D66e86990Ed0e33956adac,​0x3921c28ED92c738878609fF97d9DF6240c808ca9,Other
1579915579000,,,,,,,,,,,,,,0.06,,,,,,,,,,,
1580114658000,,,0.16,,,,,,,,,,,,,,,,,,,,,,
1580247630000,,,,,,,,,,,,0.04,,,,,,,,,,,,,
1580313366000,,,,,,,,,,,,,,,,,,,,,,,0.07,,
1581043789000,,,,,,,,,,,,,,,,0.01,,,,,,,0.16,,
1581110121000,,,,,,,,,,,,,,,,,,,,,,,0.88,,
1581375300000,,,,,,,,,,,,,,,,,,,,,,,0.13,,
1581508790000,,,,,,,,,,,,,,,,,,,,,,,0.24,,
1581574720000,,,,,,,,,0.44,,,,,,,,,,,,,,,,0.00
1581707956000,,,,,,,,,0.20,,,,,,,,,,,,,,,,
1582040665000,,,,,,,,,,,,,,,,,,,,,,,,,0.02
1582306851000,,,,,,,,,,,,,,,,,,,,,,,,,0.03
1582705647000,,,,,,0.61,,,,,,,,,,1.25,,,,,,,,,
1582970808000,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1583435384000,,,,,,,,,,,,,,,,0.12,,,,,,,,,
1583633541000,,1.74,,,,,,,,,,,,,,,,,,,,,,,
1584168330000,,,,,,,,,,,,,,,,,,,,3.76,,,,,
1584566455000,,,,,,,0.02,,,,,,,,,,,,,,,,,,
1584766483000,,,,,,,0.16,,,,,,,,,,,,,,,,,,
1586236183000,,,,,,,,,,,1.02,,,,,,,,,,,,,,
1586301955000,,,,,,,,1.43,,,,,,,,,,,,,,,,,
1586434964000,,,,,,,,,,,,,,,,0.12,,,,,,,,,
1586568529000,,,,,,,,,,,,,,,,,,0.27,,,,,,,
1586635021000,,,,,,,,,,,,,,,,,,0.78,,,,,,,
1587234387000,,,,,,,,,,,0.73,,,,,,,,,,,,,,
1587701744000,,,,,,,,,,,,,,,,,,,0.78,,,,,,
1587768625000,,,,,,,,,,,1.39,,,,,,,,,,,,,,
1588170340000,,,,,,,,,,,0.93,,,,,,,,,,,,,,
1588237076000,,,,,,,,,0.10,,,,,,,,,,,,,,,,
1588305064000,,,,,,,,,,,,,,,,0.52,,,,,,,,,
1588839881000,,,,,,,,,,,,,,,,,,,,,0.66,,,,
1589107927000,,,,,,,,,,,,,,,,0.79,,,,,0.63,,,,
1589241093000,,,,,,,,,,,,,,,,0.53,,,,,,,,,
1589308656000,0.01,,,,,,,,,,,,0.50,,,,,,,,,,,,
1589711000000,,,,,,,,,,,,,,0.02,,,,,,,,,,,
1589913105000,,,,,,,,,,,,,,,,,,,,,0.37,,,,
1589980117000,0.05,,,,,,,,,,,,,,,,,0.51,,,,,,,
1590853669000,,,,,,,,,,0.42,,,,,,,,,,,,,,,
1591122115000,,,,,,,,,,0.39,,,,,,,,,,,,0.70,,,
1591189759000,,,,,,,,,,,,,,,,0.42,,,,,,0.08,,,
1591389945000,,,,,,,,,,,,,,,,0.41,0.81,,,,,,,,
1591457899000,,,,,,,,,,,,,,,,0.41,,,,,,,,,0.00
1591524138000,,,,,0.42,,,,,,,,,,,,,,,,,,,,
1591590964000,,,,,,,,,,,,,,,,0.84,,,,,,,,,
1591793059000,,,,,0.24,,,,,,,,,,,,,,,,,,,,
1594000010000,,,,,,,,,,,,,,,,,,,,,,0.09,,,
1595738927000,,,,,,,,,,,,,0.35,,,,,,,,,,,,
1596606713000,,,,,,,,,,,,,0.85,,,,,,,,,,,0.58,
1596674074000,,,,,,,,,,,,,,,,,,,,,,,,0.59,
1597073639000,,,,,,,,,,,,,,,,,,,,,,,,0.03,
1599528172000,,,,,,,,,,,,,,,,0.14,,,,,,,,,
1599859185000,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1604721624000,,,,0.06,,,,,,,,,,,,,,,,,,,,,
1605187095000,,,,,,,,,,,,,,,,,,,,,,,,0.52,
1605982271000,,,,0.16,,,,,,,,,,,,,,,,,,,,0.80,
1606711814000,,,,0.12,,,,,,,,,,,,,,,,,,,,,
1608569893000,,,,,,,,,,,,,,,0.04,,,,,,,,,,
1609165810000,,,,,,,,,,,,,,,,,,,,,,,,0.51,
1610028326000,,,,,,,,,,,,,,,,,,,,,,,,0.56,
1612484334000,,,,,,,,,,,,,,,,,,,,,,,,0.93,
1612550762000,,,,,,,,,,,,,,,,,,,,,,,,0.34,
