timestamp,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x716C9cC35607040f54b9232D35a2871F46894F58,​0xc7C8ee6D5B6460c96cC5A7C0F424CE087C6Bbfbb,​0x2135a897998ED441a806456fAb5328375341cAC7,​0x199c441bAf7fCDBf9e611EDFEF1E77b31380f25A,​0x5805096efF77D41ea8Da64b0Ae8D810a69A23A0a,​0x41BD9EDe67476dEff711C1ddBd702B741Dcc23d8,​0x1571F01FaBc95A92b96a36D068E4B7DD0bD85009,​0x693c188E40F760ecF00d2946ef45260b84FBc43e,​0x478F2101CB714AD0eeCc4D4dbcc4C1b07a9C6d93,​0x20B5f69D108dfC446f64E7393ff4FfD5130ED268,​0xB4DE38d688a91EC1AF12b963358F8B3488B098be,​0xc7b3601CD694cd40333b791DAD0a4F10C4Cf0Bf5,Other
1583900197000,,,,,,,,,,,0.00,,,
1589375621000,,,,,,,,,,,0.02,,,
1589442351000,,,,,,0.02,,,,,,,,
1590584981000,,,,,,,,,,0.01,,,,
1591256276000,0.08,0.08,,0.00,,,,,,,,,,
1591323776000,,,,,,,0.06,,,,,,,
1591457899000,,,,,,,,,0.01,,,,,
1591658478000,,,0.03,,,,,,0.08,,,,0.03,
1591725334000,,,,,,,,,,,0.01,,,
1591859571000,,,,,0.03,,,0.01,0.17,,,0.15,,
