timestamp,​0x1496609BCB753AD8a3c1F8f9ac69DFA8714bEa7F,​0x918453d249A22b6A8535c81e21F7530CD6Ab59F1,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,Other
1598005285000,,0.64,1.43,
1598071853000,2.27,,11.35,
1598138530000,,,2.77,
1598204486000,,,2.18,
1598271030000,,,1.01,
1598337535000,,,1.94,
1598404244000,,,8.43,
1598469678000,,,6.00,
1598536356000,,,1.11,
1598602302000,,,4.23,
1598668615000,,,3.37,
1598734918000,,,2.56,
1598801522000,,,1.11,
1598867833000,,0.27,1.22,
1598932763000,,,0.52,
1599065306000,0.40,,0.52,
