timestamp,​0x97deC872013f6B5fB443861090ad931542878126,​0x862563C7f619896ada7249FC5d7C956b0f0Fc94f,​0x0AE62cCDb17f4f8C1eec2c823400E2AC8EdB9Acb,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,Other
1606380252000,,,,,0.01
1606446290000,,,,0.61,
1606513752000,,,,2.23,
1606579323000,0.52,,,0.52,
1606644580000,,,,0.58,
1606711814000,1.97,,,1.32,
1606777403000,,,,1.57,
1606843839000,0.53,,,0.39,
1606911253000,,,,0.78,
1606976748000,,,,0.42,
1607043153000,,,,0.20,
1607109266000,,,,0.20,
1607176193000,,,,0.36,
1607242529000,,,,1.93,
1607309267000,,0.11,,,
1607375492000,,,,0.47,
1607441996000,,,,0.45,
1607508150000,,,,0.02,
1607573702000,,,,0.99,
1607774843000,,0.06,,,
1607840923000,,,,0.20,
1607907786000,,,,0.15,
1607973990000,,,,0.52,
1608039974000,,,,0.56,
1608106809000,,,,0.15,
1608172715000,,,0.18,4.76,
1608239436000,,,,3.76,
