timestamp,​0x5392f73B013eA80b4c5eEc3ea229388809114537,​0x8652DB47b55Fbcf370A4B1B23ddf50FC8396981a,​0x03f2B3FF6C8dd252556A0e15b60f9d1618dDdF3b,​0x96693870AAf7608D5D41AE41d839becF781e22b0,​0x3674840e64A5B2176052d9F65A9AC7e8dBF7bD5F,​0x2E0473E3a5687e0B992DaD250dA005FEE6BD83D1,​0x75DB2a1721115EE7166637ED04006C930b017f45,​0x693c188E40F760ecF00d2946ef45260b84FBc43e,Other
1592594022000,,0.04,,,,,,,
1593599509000,,,,,,0.01,,,
1595338300000,,,,0.10,,,,,
1596006108000,,,,,,,,0.06,
1596406368000,,,0.24,,,,,,
1596874169000,,,,,0.10,,,,
1597472334000,0.19,,0.50,,,,,,
1598271030000,,,,,,,0.08,,
