timestamp,​0x97deC872013f6B5fB443861090ad931542878126,​0x89D3Afde089399534aFDB7aD2D05138315Ef45FF,​0x17559a8138E72C6Ef34512b11685dedC509BaDcf,​0xc1758EEa027f8D92e6ddd13d17e19E592845188a,​0x3adE2f2E035D88756834C7Dd39DF0Be9364B3c95,​0x693c188E40F760ecF00d2946ef45260b84FBc43e,​0x00000000B1786c9698C160D78232c78d6f6474Fe,​0x2024bB490824704168eDC96889A1F70DC93793F9,​0x263FC4d9Eb6da1ED296ea6d189b41e546a188D8A,​0x0eebA850EDfa3D752F47FAb519625bE94ab2900c,​0xA2881A90Bf33F03E7a3f803765Cd2ED5c8928dFb,​0x4161574d054c35C17023E3B87210EA6dA129dE9f,​0x85C5c26DC2aF5546341Fc1988B9d178148b4838B,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,​0xdb83d5679C04B9a979fEE7E269E3C7De0346A869,Other
1574906610000,,,,,,,,,0.01,0.01,,,,0.03,,
1575979374000,,,,,,,,,0.01,,,,,,,
1576056123000,,,,,,,,,0.01,,,,,,,
1576132843000,,,,,,,,,0.01,,,,,,,
1576208669000,,,,,,,,,0.03,,,,,0.01,,
1576288118000,,,,,,,,,0.01,,,,,,,
1577402327000,,,,,,,,,0.01,,,,,,,
1577488582000,,,,,,,,,0.01,,,,,,,
1577659927000,,,,,,,,,0.00,,,,,,,
1577746179000,,,,,,,,,0.00,,,,,,,
1577832303000,,,,,,,,,0.01,,,,,,,
1577918935000,,,,,,,,,0.01,,,,,,,
1577997589000,,,,,,,,,0.00,,,,,,,
1578129566000,,,,,,,,,0.01,,,,,,,
1578327837000,,,,,,,,,0.01,,,,,,,
1578989540000,,,,,,,,,0.01,,0.00,,,0.00,,
1579915579000,,,,,,,,,0.00,,,,,,,
1580380051000,,,,,,,,,0.00,,,,,,0.01,
1581043789000,,,,,,,,,,,,,,,,0.00
1581375300000,,,,,,,,,0.03,,,,,,,
1581574720000,,,,,0.10,,,,,,,,,0.04,,0.00
1581707956000,,,,,0.06,,,,,,,,,,,
1581841298000,,,,,0.10,,,,,,,,,,,
1581907086000,,,,,0.05,,,,,,,,,,,
1582040665000,,,,,0.05,,,,,,,,,,,
1582106715000,,,,,0.06,,,,,,,,,,,
1582173039000,,,,,0.05,,,,,,,,,,,
1582306851000,,,,,0.06,,,,,,,,,,,
1582638796000,,,,,0.05,,,,,,,,,,,
1582837876000,,,,,,,,,,,,,,,,0.00
1583567810000,,,,,,,,,0.03,,,,,,,
1585372283000,,,,,0.03,,,,,,,,,,,
1586102872000,,,,0.00,,,,,,,,,,,,
1586301955000,,0.15,0.17,0.28,,,0.04,,,1.21,0.03,,,0.61,,
1586368858000,,0.30,,0.01,,,0.14,0.10,,0.94,,,0.10,0.20,,
1586501245000,,,,,0.04,,,,,,,,,,,
1587099968000,,,,0.01,,,,,,,,,,,,
1587701744000,,,,0.01,,,,,,,,,,,,
1587768625000,,,,,,,,0.13,,,,,,,,
1587902337000,,,,0.01,,,,,,,,,,,,
1588371539000,0.09,,,,,,,,,,,0.09,,,,
1588438821000,,,,0.01,,,,,,,,,,,,
1588572377000,,,0.11,,,,,,,,,,,,,
1588705743000,,,,0.00,,,,,,,,,,,,
1588771981000,,,0.16,,,0.20,,,,,,,,,,
1588839881000,,,,,,0.10,,,,,,,,,,
1588972800000,,,0.07,,,,,,,,,,,,,
1589040204000,0.19,,0.07,,,0.17,,,,,,,,,,
1589241093000,,,,0.02,,,,,,,,,,,,
