timestamp,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x5b4ADc18ea92C7f438f6258432dbFf441f68B6F6,​0x97deC872013f6B5fB443861090ad931542878126,Other
1599859185000,1.88,,,0.98,
1599925296000,2.11,,,,
1599991924000,0.73,,,,
1600057881000,2.15,,,,
1600125024000,2.54,,,,
1600190832000,1.14,,,,
1600257235000,0.20,,,,
1600323285000,0.91,,,,
1600456406000,0.57,,,,
1600522839000,0.03,,,,
1600589122000,0.04,,,,
1600654235000,0.41,,,,
1600719844000,4.58,,0.18,1.88,
1600786926000,2.29,0.41,,,
