timestamp,​0x4A992cDC4f0c60D5CEedCA24C5DB8078197152DA,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0x82D5CBe057F17BF58c728829C7AEd242Fe5B4623,​0xD80c657be94976981CD1F3b329C19da63AcaD34E,​0x6e1C24586d0DFEB608E0442a8A1Ce772afEC03a6,​0x5142126B4573AE1A23E4c8AB2a16631CAE725325,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0x577D96754E7dBDDc5aa9787C139DB2e8026cf4aa,​0x38C4958f273bE3144D7D6C593Bb4F8b24A6dBA0e,​0x8632FBDF382516A4A62CD328FFd6F3a60d916C3E,​0x3195c3F94154364E897711e501e104f40D8e23fb,​0x97deC872013f6B5fB443861090ad931542878126,Other
1575749392000,,,,,,,,,,,,0.00,
1578724741000,,,,,,,,,,,,,0.01
1579055596000,,,,,0.63,,,,,,,,
1579188604000,,,,5.07,,,,,,,,,0.70
1579254375000,,,,3.01,,,,,,,,,0.31
1579320115000,,,,,,,0.14,,,,,,0.00
1579386588000,,,,2.35,,,,,,,,,
1579453251000,,0.49,,3.14,,,0.00,,,,,,0.01
1579848954000,,,,1.64,,,,,,,,,
1580180893000,,,,3.30,,,,,,,,,
1580313366000,,,,1.23,,,,,,,,,
1580380051000,,,,0.51,,,,,,,,,
1580446477000,,,,2.22,,,0.04,,,,,,
1580512997000,,,,1.79,,,,,,,,,
1580579921000,,,,0.56,,,,,,,,,
1580645575000,,,,1.45,,,,,,,,,
1580711822000,,,,0.61,,,,,,,,,
1580778615000,,,,0.45,,,,,,,,,
1580844182000,,,,1.35,,,,,,,,,
1580910496000,,,,1.72,,,,,,,,,
1580977343000,,,,3.51,,,,,,,,,
1581043789000,,,,3.05,,,,,,,,,
1581110121000,,,,2.05,,,,,,,,,
1581177428000,,,,3.69,,,,,,,,,
1581243665000,,,,0.49,,,,,,,,,
1581310184000,,0.42,10.05,5.63,,,11.29,,,,3.91,,0.36
1581375300000,,,,1.53,,,,,,,,,
1581441429000,,,,2.65,,,,,,,,,
1581508790000,,,,4.74,,,,,,,,,
1581574720000,,,,3.28,,,,,,,,,
1581641265000,,,,6.61,,,,,,,,,
1581707956000,,,,3.92,,,,,,,,,
1581774043000,,,,0.89,,,,,,,,,
1581841298000,,,,5.01,,,,,,,,,
1581907086000,,,,6.37,,,,,,,,,
1581973926000,,,,5.44,,,,,,,,,
1582040665000,,,,3.60,,,,,,,,,
1582106715000,,,,2.69,,,,,,,,,
1582173039000,,,,6.30,,,,,,,,,
1582240159000,,,,6.88,,,,,,,,,
1582306851000,,,,1.78,,,,,,,,,
1582372667000,,,,1.23,,,,,,,,,
1582439543000,,,,1.85,,,,,,,,,
1582505376000,,,,0.42,,,,,,,,,
1582571821000,,,,2.67,,,,,,,,,
1582638796000,,,,1.35,,,,,,,,,
1582705647000,,,,4.35,,,,,,,,,
1582771019000,,,,14.13,,,,,,,,,
1582837876000,,,,7.17,,,,,,,,,0.09
1582904573000,,,,7.54,,,,,,,,,
1582970808000,,,,4.55,,,,,,,,,
1583036689000,,,,2.70,,,,,,,,,
1583103301000,,,,3.25,,,,,,,,,
1583168974000,,,,2.76,,,,,,,,,
1583235956000,,,,0.46,,,,,,,,,
1583302077000,,,,3.63,,,,,,,,,0.04
1583368317000,,,,1.27,,,,,,,,,0.02
1583435384000,,,,1.30,,,,,,,,,0.04
1583502285000,,,,2.22,,,,,,,,,0.02
1583567810000,,,,1.69,,,,,,,,,0.00
1583633541000,,,,2.70,,,,,,,,,
1583699841000,,,,8.52,,,,,,,,,0.40
1583767163000,,,,9.49,,,,,,,,,
1583833348000,,,,5.50,,,,,,,,,0.02
1583900197000,,,,2.89,,,,,,,,,
1583966404000,,,,7.64,,1.57,,,,,,,
1584033400000,,,,19.41,,,,,,3.15,,,0.12
1584100621000,,,,3.57,,,,3.00,,,,4.06,
1584168330000,,,,,,,,,2.59,,,,
1584234522000,,0.58,,4.00,,,,,,,,,
1584300469000,,,,,,,,1.22,,,,,
1584367227000,,,,25.18,,,,,,,,,
1584434720000,,,,20.91,,,,,,,,,
1584500082000,,,,7.47,,,,,,,,,0.05
1584566455000,,,,10.92,,,0.01,,,,,,
1584632903000,,,,8.71,,,,,0.81,,,,
1584699859000,,,,19.92,,,,,,,,,0.04
1584766483000,,0.58,,39.07,,,,,,,,,
1584833664000,,,,10.94,,,,,,,,,
1584902413000,,,,7.93,,,,,,,,,
1584970249000,,,,18.85,,,,,,,,,
1585036977000,,,,7.83,,,,,,,,,
1585105600000,,,,9.26,,,,,,,,,
1585173391000,,,,5.39,,,,,,,,,
1585239172000,,,,2.24,,,,,,,,,
1585306138000,,,,3.69,,,,,,,,,
1585372283000,,,,4.49,,,,,,,,,
1585438491000,,,,3.78,,,,,,,,,
1585504149000,,,,1.00,,,,,,,,,
1585571105000,,,,4.40,,,,,,,,,
1585637238000,,,,1.62,,,,,,,,,
1585704243000,,,,0.98,,,,,,,,,
1585770840000,0.69,,,1.52,,,,,,,,,
1585836257000,,,,3.59,,,,,,,,,
1585903293000,,,,9.60,,,,,,,,,
1585969610000,,,,3.19,,,,,,,,,
1586036191000,,,,4.09,,,,,,,,,
1586102872000,,,,0.99,,,,,,,,,
1586169028000,,,,3.69,,,,,,,,,0.15
1586236183000,,,,8.29,,,,,,,,,
1586301955000,,,,5.99,,,,,,,,,0.02
1586368858000,,,,3.28,,,,,,,,,0.20
1586434964000,,,,3.66,,,,,,,,,0.01
1586501245000,,,,2.96,,,,,,,,,
1586568529000,,,,4.43,,,0.01,,,,,,
