timestamp,​0x50a32dd491485BFae6F85A6Fee94ef0cAdcc101c,​0x0FD2Cf82D6D0131233b4793BdEeAc02e76A16207,​0x89D3Afde089399534aFDB7aD2D05138315Ef45FF,​0xBDd74e67f0f5729b3eAD8e9C231e739A281fa153,​0x196A3Dc8446920Cef0f0d1f6Bf7Ba5b40702C79f,​0xF44B52C11b1c800722E8fDF4aa7F3076339E73c4,​0x006004fFA18E3cf78fA3b50393ec44C1ab89cF6c,​0x4ef2Ab73EF2214EBeba6f087A8DcF89731504301,​0x6459B8F7454670B9aba9E009cf468b7d99103e17,​0x9e2B38c9EF8fF91F2C73Ab0475bCe66b14A4B31f,​0xAE320fFE3236062aC23450AA9840FB4cE168a715,​0xfB2579D2806ce643502016c41e7be7ba1EcDf60b,​0xb146907392eD12031F7715B0376833E3f7C5b98c,​0x7A45E23cbb7765900f02c54757498beF01C2b18F,​0xB5A8BC63003D85b4a35ce388E59c663D6DcCDe83,​0x93dE8Ee16aEC99809F52A9948fEf9e3a1d1Ce10A,​0x3457BEf3F7fC1739056E9fa5Ab96d4c449d4c418,​0x1b25Cd78c96e5d311D322D93f59fEA85d9E45d1B,​0xb5AC5DfAC1a8A4cDcEb80a86dd9457139cd38C9E,​0x23bB4e19767c51AFd9beBdd5Cb23cEd735b97618,​0x90D1E63Fd61BeDEE4447Ca9398d0d15cdBd4dd42,​0xaE76c84C9262Cdb9abc0C2c8888e62Db8E22A0bF,​0x48B04d2A05B6B604d8d5223Fd1984f191DED51af,​0x8e5272Cec02272e232C4C8bDd1d64D3a4AA532e5,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,​0x6216345a1Bf53fC9C19786163fC9f16266183951,​0x3FEe16929e1D083dade5da1b66B070dc438cD7f4,​0x00000f2D00b7a76100366C0013C2000595eE0067,​0x288025c2f4edBa0F4C52F7d1Ad7B24337f702b11,​0x09cabEC1eAd1c0Ba254B09efb3EE13841712bE14,​0xfF44611ABC5c62FF3c8C61f67769330C9a466A93,​0xd5d21B9232AB1e6c7622BF2375f0365Bc3A6b10d,​0x8564FbD8c2A8336f4F38Aa7F2CAf4a4d89CEC8a5,​0xd03815883c4b78433b4c3Dc25Ada9a07B04a39DF,​0x4F50d47D20380172746527bbeAa274940C38EFAC,​0x32B067831860731C4AB591F7762F6EED2Df51513,​0xa68F87535E02BD7eA64D88F1c9Bb5243f130c5c5,​0x5c5b40855fc364b797c1F539F7Eb39cDC94a8a91,​0x8af66ee2DAB728F4CEc818050d11312C50dd9037,​0xB958a8f59AC6145851729F73c7A6968311d8B633,​0x1E1F6844dd5047f12D4759A39C518C2B7316CDae,​0xe1723E41058cb01859E9826022a390DC68a9AB71,​0x25CEDE402a77a1bE0883F3B484B1Ee57a43C9311,​0x85C5c26DC2aF5546341Fc1988B9d178148b4838B,​0x6794471ebC084A4ca462C506AfEaBb93d9657c25,​0xA540fb50288cc31639305B1675c70763C334953b,​0xE14ea75EdEA3848dabAfBbA6F3B9c190873Fd31a,​0xB3ab42304497618b94f5C0DAC7d50401d4FC1b9f,​0x409B512e1cf94500877C5353B2a0C13B2d24914F,​0x68cdD84267c53882271a93221a18FE5515fb8921,​0x3195c3F94154364E897711e501e104f40D8e23fb,​0x9E47F64B3105F6702B051B776B1Bad1F6842f88B,​0x9ff84B91998dF96A6587DB8dDe8D4E47518107d6,​0x0960Da039bb8151cacfeF620476e8bAf34Bd9565,​0x0000000000C90bc353314b6911180ED7E06019A9,​0x49c4f9bc14884f6210F28342ceD592A633801a8b,​0x59dF30593e3E250e8A13540Ea145AE2407962d1E,​0x51B553a31Cf3027f9F5a212027Ac1717B21782B6,​0x84443F61efc60D10DA9F9a2398980CD5748394BB,​0xf52fbAFB6e736d77E2f3D5aA070326eDF490b4a0,​0xE2F35B376461E7FDd2f2E45248E4c3cD9626A933,​0xebD42B6a487c4FeD4F9660C19291295d8eD14F7e,​0x41c7b33b8E7Fec43e4F860F79c2a4314e3C54089,​0xadA7Fd208184614420733397393b281f4dcEDDd9,​0x2fcC020F72E5d2EdD2a24D04f3Dc90D7fDFbD1DD,​0xDBfCa6b7fF1a2c5F7ddEbDb06572F5E402B2CC80,​0x0a4842b3021611bDc50159624893ff5faa8F55bC,​0x860bd2dba9Cd475A61E6d1b45e16c365F6D78F66,​0xCa248E880Da1b0D24fe71D338c4ed04f1faF3b9E,​0x54bc3fE4E8C377246aCd5b4c25705c1b4324e859,​0x693c188E40F760ecF00d2946ef45260b84FBc43e,​0xDEEdB88a78859781F374CF32940B1b3f361B2a36,​0x97deC872013f6B5fB443861090ad931542878126,​0xbD7ACDbA6383F3187C0d7DBd046AF0834F06E92e,​0x1F3826397Ef2D62ce4123dC143B7eE633Da3eE91,​0xB42C464652683B3e8C725e9AEAE096c3179a4A5c,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x9ba3E099C986268d9997f8e013A85467915eBDdE,​0x7059010320d07a47d2Ad54db88bB89Ea644C3e6F,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0x284D96f556aCD88a89647D1a76298bc27C30184f,​0x951763756DF8811575f2C7f7cF8761b74147Ea7D,​0xf79cb3BEA83BD502737586A6E8B133c378FD1fF2,​0x2870fa7c3C615f324151a88B10f0e1455Ee292D8,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0x417CB32bc991fBbDCaE230C7c4771CC0D69daA6b,​0x248EE163064CEC75103EFB80EA0014fBCd96693f,​0xA966b6F62F63e2abCb9340014BDd6553609d8337,​0x3af52a98aba9929241A67568a7d7d2801af2e879,​0xBC1845a864aa2A7ba7513BC6837Ff7D66ec191C4,​0xfC46C1F663DE69D1B054D64a4F7CA72EeE608E20,​0x53898d95B345d5DA36fC35C6203B3658E6B6b197,​0x40A7cb7052C274Cc2E568c324B4c5D94383bec4f,​0x0DC411b17d337Af85D83eA5A3577D09132Aae866,​0x0a342F40d456fD1Aa5C1AdaE6e6A87Eaf9D9FE90,​0x1082c5e34252e5e4cBf22489fb815EC3aeEE9338,​0x764d6F045b6ab1A60c4595144c185C5EE60Fa3df,​0x8Ebd10FE696288c6ED1E024064FDF54541Aa63e0,​0x5865BbC0d51980a233760cDb7AB49d1Ed56f703e,​0x92C26cdbA5F9f5657A8Bbaa816f8126915713dB2,​0x4a8B9E2C2940fdd39aceb384654dc59aCB58C337,​0xD2f96F8D1884CFD7F3e10611A86d9e932A235Ed3,​0x7bfCa252bFf95f218ecA93F5d042B85d7195FA6a,​0xA2345C7DB212Ab9c478B1C206fB9b14C0E7c11C7,​0x52dEF6C112BfFC66fC8C8258539d4d8C30c5000C,​0xe9519677e6ec8D2D6BFaB92A059529feA6075d37,​0x5aB9d116a53EF41063E3EaE26A7eBe736720E9bA,​0x06E5D89C0f275194bCF2DC3848C1031762E48a0b,​0x31fA3643F5CEF78C1790d494d7E3F2a59E2ad0c4,​0x5A6fc2De011d93842411aa5f91a0a4AcD3fEfFde,​0xa0b28a5d949a340730B71F5090a711a9eB96cc4e,​0xfb7429b068706454B7d0A1bC107603764A1dd982,​0xF173214C720f58E03e194085B1DB28B50aCDeeaD,​0x6b8f08E72cD313b00a53f632fb615451D136a310,​0x5Be5b30A720093C9d1B1E6CF8441280a48a495F8,​0x009Fb3B5847D0D26fA02DAdFa876faD0cad76b69,​0x0A7EAEE9d588C0af4eAC758c3bd6b1E69e4d8f3B,​0x397d34604F2b2227F4fb0bFEC2e48D4E85C5aA67,​0x1e341Aa44c293d95d13d778492D417D1BE4E63D5,​0xfc644EA1A3Fe5e7854be5431078803d1CBee6bEE,​0x0C07e4A367F1A97E2CE960c35eb4FFCCb1D16b05,​0x57d1860364d87cAaaB228bFbbDAFee59C44e4226,​0x00000000Af5A61acAf76190794E3fdf1289288A1,Other
1550735511000,,,,,,,8.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1550837309000,,,,,,,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1551342768000,,,,,,4.04,0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02
1551431102000,,,,,,1.00,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04
1551500225000,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1551568203000,,,,,,,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1551635562000,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1551838168000,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1552241652000,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1552510965000,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.30,,,,,,,,,,,,,,,,,,,,3.49,,,,0.40
1552578457000,,,,,,3.00,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,3.91,,,,
1552645085000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.30,,,,,,,,,,,,,,,,,,,,,,,,
1552712032000,,,,,,1.00,,,,,,,,,,,,,,,,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47,,,,0.20,,,,,,,,,,,,,,,,,,,,,,,,
1552778665000,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.91,,,,0.50,,,,,,,,,,,,,,,,,,,,,,,,
1552913957000,,,,,,,,,,,,,,,,,,,,,,,,9.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,2.60,,,,,,,,,,,,,,,,,,,20.02,,,,,
1552981368000,,,,,,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1553048481000,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1553115278000,,,,,,,0.58,,,,,,,3.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,,,,,,,,,,,,,,,,,,,,,,,,
1553183074000,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1553250112000,,,,,,,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1553317511000,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.96,,,,,,,,,,,,,,,,,,,,,,,,,,1.94,,,,3.32,,,,,,,,,,,,,,,,,,,,0.75,,,,
1553384962000,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1553452320000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,
1553519035000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,,,,,,,,,
1553586275000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1553654855000,,,,,,,3.00,,,,,,,,,,,,,,,5.41,,,,,,,,,,,,,,,0.87,,,,,,,0.36,,,,,,,,,,,,3.43,,,,,,,,,,,,,,3.47,,,,,,,,,,,,,,,,,,,,,,,,,,2.28,,,,0.50,,,,,,,,,,,,,,,,,,,,2.05,,,,
1553721327000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.20,,,,,,,,,,,,,,,,,,,,,,,,
1553789263000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,
