timestamp,​0x97deC872013f6B5fB443861090ad931542878126,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0x9709a9f77d4349e1DA4220f1458fBe9339d612E3,Other
1605915938000,0.49,3.20,,
1605982271000,,1.25,,
1606048118000,,1.18,,
1606114478000,,1.94,,
1606181350000,,0.72,,
1606247275000,,1.35,,
1606314098000,0.14,0.55,,
1606380252000,0.88,2.29,,
1606446290000,0.23,2.39,0.32,
1606513752000,,4.34,,
