timestamp,​0x7100C81e9aD3f6cE80F6E7661735fCAB03c57785,​0x1e1908B99fA7B6d2A17649A09865dC41E704Ccf4,​0x7BaefD3ef84970077FFb5d8D7AA70eA55DBa97a8,​0x3195c3F94154364E897711e501e104f40D8e23fb,​0xB4dc2E1cae0dD563e3E8E6a192de488c0d0D038F,​0xdAF0F95F4B6230B6f15782F8b7D899354c78b2e3,​0x6794471ebC084A4ca462C506AfEaBb93d9657c25,​0xc25C4Af0619457B28536d4b962BeC92eeDAEFE8F,​0x07519be8f2c9DDC1a40306CC1F55BFF8b2E51e7E,​0xD3e9D60e4E4De615124D5239219F32946d10151D,​0x9fbDfC45600A6207507208A38DC2a1164c3F498A,​0xB2b2524F3699135e753f95dA10825069944a22AF,​0x6459B8F7454670B9aba9E009cf468b7d99103e17,​0x84E94F8032b3F9fEc34EE05F192Ad57003337988,​0x5De4EA2F4fDe1823ea0432FbeB7E8E7a69f8987C,​0xd03e867Ea9d797b35BAb7710a5C578AA7DE54E90,​0xE3F820F4E22A0AFe6A2AC30D5a81366198F3344E,​0x61c3E39752f67da47F55DEb02f529aa74Afe82B5,​0xA018E41D4400e40b80d5Db72cf4dA5c1EA59a8dF,​0x240DDB16c5E4257505B0b6a7820314e483Cd1715,​0xE418167004af7bB6990B468f0fb6DE79F3aDc0BD,​0x78BA294a8e94c76851C2125F56d3EeE50e6116C1,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0xca4aD39F872E89Ef23eABd5716363Fc22513E147,​0xB1BaE8ACE7d51E3bE1AaA24D3176aBc4549a6111,​0xc1758EEa027f8D92e6ddd13d17e19E592845188a,Other
1574175364000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1575366165000,,,,0.92,,,,,,,,,,,,,,,,,,,0.08,,,,
1584500082000,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,
1584566455000,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,
1584632903000,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,
1584699859000,,,,,,0.04,,,,,,,,,,,,,,0.01,,,,,,0.13,
1584766483000,,,,,,,,,,,,,1.00,,,,,,0.01,,,,,,,,
1584833664000,,,0.36,,,,,,,,,,1.00,,,,,,,,,,,,,,
1584902413000,,,,,,,,,,,,,,,,,,,0.02,0.00,,,,,,,
1585036977000,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,
1585306138000,1.05,,,1.46,,,,,,,,,,,0.79,,,,,,,,,,,,
1585372283000,,0.23,,,,,,,,,,,,,,,,0.03,,,,,,,0.04,,
1585704243000,,,,,,,,,,,,,,,,,0.49,,,,,,,,,,
1585836257000,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,
1586102872000,,,,,,,,,,,,,,,,,,0.10,,,,,,,,,
1586169028000,,,,,,,,,,,,,0.55,,,,,,,,,,,,,,
1586236183000,,,,,,,1.17,,,,,,,,,,,,,,,,,,,,
1586434964000,,,,0.49,,,,,,,,,,,,,,,,,,,,,,,
1587434258000,,,,,,,,,,,,,,0.30,,,,,,,,,,,,,
1587701744000,,,,,,,,,,,,,,,,0.76,,,,,,,,,,,
1587768625000,,,,,,,,,,,,,,,,,,,,,,,,0.68,,,
1588371539000,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,
1588438821000,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,
1589442351000,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,
1589644333000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1590248502000,,,,,0.04,,,,,,,0.03,,,,,,,,,0.13,0.08,,,,,0.00
1590316431000,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,
