timestamp,​0x862563C7f619896ada7249FC5d7C956b0f0Fc94f,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,Other
1610691633000,,0.23,
1610756963000,,0.21,
1610823692000,,0.20,
1610956120000,0.08,1.51,
1611221796000,,0.19,
1611287519000,,0.73,
1611354273000,,0.27,
1611487072000,,0.48,
1611619442000,,0.77,
