timestamp,​0xF173214C720f58E03e194085B1DB28B50aCDeeaD,​0x595196480dAacb9e81BD738b45348B780fd0Fa58,​0x72B0bC97E2B7dFa0F9d376dA9fb392D871011313,​0x263FC4d9Eb6da1ED296ea6d189b41e546a188D8A,​0x9e72468195c0C3f2F40e9219399B6cA69fBaa455,​0xDdA9cF9bF4AfcdDff3AE9014d868dcFd616521D3,​0x10e1BCdE2ea0ce53B92CbA9c732223e0addb2Ea2,​0xAFF6D2CAA7c2310bc907CcdB7c95B4AbF9E7CA78,​0x4C7Aa459D130C1DBF1D66e86990Ed0e33956adac,​0x758dA3C0f8134AA600B6b8971B00AC791D1c333a,​0xB39c99249DE77392aAde86dD589223Bd5d5cc09C,​0xc1758EEa027f8D92e6ddd13d17e19E592845188a,​0x4Ac95f18819C17c4B69fA07086E46Ff2D098A9Cc,​0x5677ADA7AA25F27620F31F9e8Bd0363F693cA468,​0x61117012F9FB63cf0e7c688c76bFC874Db3C6874,Other
1580247630000,,,,,,,,,0.04,,,,,,,
1581508790000,,,,,,,,,,,,,,,,0.00
1582904573000,,,0.07,,,,,,,,,,,,,
1583368317000,,,,,,,,,,,,,,,0.01,
1583567810000,,,,,,,,0.07,,,,,,,,
1583633541000,,,,,,,,,,,,,,,,0.00
1583699841000,,,,0.03,,,,,,,,0.01,,,,
1583767163000,,0.01,,,,,,,,,,0.02,,,,
1584234522000,,,,,,,,,,,,0.01,,0.01,,
1584566455000,0.01,,,,,,,,,,,,,,,
1584699859000,,,,,,,,,,,,0.00,,,,
1586767741000,,,,,,,,,,0.15,,,,,,
1586966921000,,,0.16,,,,,,,,,,,,,
1587434258000,,,,,0.17,,,,,,,,,,,
1588572377000,,,,,,,0.01,,,,,,,,,
1589845567000,,,,,,,,,,,,,0.26,,,
1589913105000,,,,,,,,,,,,0.15,,,,
1591457899000,,,,,,,,,,,,,,,,0.00
1593933211000,,,,,,,,,,,0.07,,,,,
1595537940000,,,,,,0.01,,,,,,,,,,
