timestamp,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0x9697E724610505474936ec1382Edceb5AA52F295,​0xa83AE6e7F065348FeF77aa6E46A48BCf79162C2E,​0x693c188E40F760ecF00d2946ef45260b84FBc43e,​0x69C4EfE68F4eaBdFAa614a8E682B1391802F4913,​0xB958a8f59AC6145851729F73c7A6968311d8B633,​0x37d22eC11cab1e6f5e37B466870082384D5e6eCd,​0xA0D3c2C53c3BDf4d6312D7506918a6Bd885b035a,​0x02fB8bFd7dF458434ce1374665ea642F2A998831,​0x85C5c26DC2aF5546341Fc1988B9d178148b4838B,​0xc095976BD18181f28626c5D48372DebD7a8Ce8d4,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,Other
1574606767000,,,,,,,,,,,,0.05,
1574677937000,,,,,,,,,,,,0.05,
1574829912000,,,,,,,,,,,,0.09,
1574906610000,,,,,,,,,,,,0.05,
1575596839000,,,,,,,,,,,,0.06,
1575903384000,0.05,,,,,,,,,,,0.05,
1576288118000,,,,,,,,,,,,0.05,
1576456679000,,,,,,,,,,,,0.06,
1576713534000,,,,,,,,,,,,0.07,
1577057861000,,,,,,,,,,,,0.04,
1577315631000,,,,,,,,,,,0.01,,
1577659927000,,,,,,,,,,,,0.03,
1577746179000,,,,,,0.16,,,,,,0.06,
1577918935000,,,,,,,,,,,,0.13,
1578658814000,,,,,,,,,,,,0.04,
1579055596000,,,,,,,,,,,,0.06,
1579584998000,,,,,,,,,,,,,0.00
1579848954000,0.20,,,,,,,,,,,0.17,
1580114658000,,,,,,,,,,,,0.03,
1580180893000,,,,,,,,,,,,,0.00
1580778615000,,,,,,,,,,,,0.04,
1581043789000,0.22,,,,,,,,,,,0.11,
1581177428000,,,,,,,,,,,,0.03,
1581310184000,,,,,,,,,,,,0.04,
1581574720000,0.14,,,,,,,,,,,,
1581774043000,,,,,,,,,,,,0.04,
1582306851000,,,,,,,,,,,,0.02,
1583435384000,,,,,,,,,,,,0.07,
1583502285000,,,,,,,,,,,,0.08,
1584234522000,0.04,,,,,,,,,,,,
1584434720000,,,,,,,,,,,,0.07,
1584500082000,,,,,,,,,,0.05,,,
1584632903000,,,,,,,,,,,,0.03,
1586236183000,,,,,,,,,,,,0.05,
1587099968000,,,,0.03,,,,,,,,,
1588371539000,,,,0.47,0.46,,,,,,,,
1589576701000,,,,,0.10,,,,,,,,
1589644333000,,0.09,,,,,,,,,,,
1589778055000,,,,0.07,,,,,,,,,
1589845567000,,,,,,,,,0.10,,,,
1590383553000,,,,,,,0.08,,,,,,
1590786531000,,,,,,,,0.11,,,,,
1591457899000,,,,,,,,,,,,,0.00
1592594022000,,,0.03,,,,,,,,,,
1593464751000,,,,0.04,,,,,,,,,
1593666201000,,,,0.10,,,,,,,,,
1593800162000,,,,0.13,,,,,,,,,
