timestamp,​0x125E72384D2CCA4ca25Db7d690ae3EB9580916de,​0x066AC05f63E128b4DBb6a1cB6dD40A778B6472ff,​0x97deC872013f6B5fB443861090ad931542878126,​0xb44420FB0877a94357e843E2e81A70B08FC04530,​0x076C95c6cd2eb823aCC6347FdF5B3dd9b83511E4,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0x61efDc88bb6Dc02A18DFB9a240800398599BAC64,Other
1599263811000,,,,,,6.85,,
1599395453000,,,,,,2.27,,
1599461746000,,,,,,2.37,,
1599528172000,,,,,,1.70,,
1599594452000,,,,,,1.55,,
1599661253000,,,,,,2.14,,
1599727959000,,,,,,1.55,,
1599793183000,,,,,,0.31,,
1599859185000,,,,,,3.58,,
1599991924000,,,,,,0.63,,
1600057881000,,,,,,1.05,,
1600125024000,,,,,,2.49,,
1600257235000,,,,,,0.09,,
1600456406000,,,0.50,,3.04,0.79,,
1600522839000,,,,,,0.85,,
1600589122000,,,,,,2.22,,
1600654235000,,,,1.00,,0.69,0.65,
1600719844000,,,,,,6.29,1.56,
1600786926000,,,,1.63,,3.44,,0.11
1600852525000,,,,,,4.37,,
1600920149000,,,,,,2.00,,
1600986137000,,,,,,2.97,,
1601053079000,,,,,,4.24,,
1601120014000,,,,,,1.68,,
1601187908000,,,,,,0.64,,
1601255204000,,,,,,2.43,,
1601323528000,,,,,,4.38,,
1601525869000,,,,,,0.27,,
1601592730000,,,,,,2.77,3.88,
1601660827000,,,,,,6.60,4.00,
1601728631000,,,,,,1.12,,
1601796104000,,,,,,0.01,,
1601863935000,,,,,,1.64,,
1601931072000,,,,,,0.82,,
1602065856000,,,1.10,,,2.97,,
1602202095000,,,,,,2.18,,
1602270387000,,,0.90,,,0.90,0.79,
1602337276000,,,0.26,,,3.25,,
1602403481000,,,,,,0.15,,
1602469107000,,,0.17,,,1.01,0.48,
1602535471000,,,,,,2.67,,
1602601229000,,,0.63,,,5.21,,
1602732764000,,,0.43,,,0.81,,
1602799114000,,,,,,3.55,,
1602865569000,,,,,,3.73,,
1602931980000,,,,,,3.37,,
1602998570000,,,0.35,,,1.57,,
1603065231000,,,,,,1.25,,
1603130753000,,,,,,1.24,,
1603196826000,,,,,,1.04,,
1603263141000,,,,,,1.78,,
1603329593000,,,,,,0.91,,
1603395740000,,,,,,1.55,,
1603462512000,,,,,,0.88,,
1603528247000,,0.05,0.36,,,1.16,,
1603594450000,,0.08,,,,0.04,,
1603661160000,,0.11,,,,0.07,,
1603728251000,,,,,,0.03,,
1603793902000,0.21,,,,,1.14,,
1603860005000,,,,,,1.16,,0.10
1603925650000,,,,,,1.08,,
