timestamp,​0x94d97831830E26630164D4A40d7b093Da3EB3e4B,​0x0056D1fd2ca3c0F3A7B6ed6CDd1F1F104B4BF9A9,​0xf4dF982Bb39d4949BDA2CeD2828c673b801Eb51c,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0x8b941bA67C0cFF1489A34e83230595C0cd2AD3bC,​0x61efDc88bb6Dc02A18DFB9a240800398599BAC64,​0x97deC872013f6B5fB443861090ad931542878126,Other
1599263811000,,,,0.72,,,,
1599395453000,,,,0.08,,,,
1599461746000,,,,2.38,,,,
1599528172000,,,,0.11,,,,
1599991924000,,,,0.58,,,,
1600190832000,,,,0.00,,,,
1600257235000,,,,0.53,,,,
1600654235000,,,,1.01,,2.61,,
1600719844000,,,,2.32,,,,
1600786926000,,,,,,2.34,,
1600852525000,,,,0.69,,,2.82,
1600920149000,1.20,,,7.21,,,6.75,
1600986137000,,,,40.89,,,,
1601120014000,,,,1.09,,,,
1601187908000,,,,7.36,,,,
1601255204000,,,,2.98,,,,
1601323528000,,,2.58,10.45,,,,0.01
1601390741000,,,1.88,3.77,,,,
1601459154000,,2.40,,2.85,0.76,,,
1601525869000,,,,7.71,,,,
1601592730000,,,1.92,15.88,,,,
